ccown,ccowc,pais,continent,regio,poblacio,pibcap_2011,pibcap_1900,despesa_educacio,despesa_militar,religio_llib,n_aliances,confianca_altres,co2_capita,gini,democracia
600,MAR,Morocco,Africa,Middle East & North Africa,36.47176742553711,8451.1357421875,NA,5.931359767913818,3.099936008453369,Sí,5,0.16500001,1.968906998634338,NA,0.2430000007152557
541,MOZ,Mozambique,Africa,Sub-Saharan Africa,30.36603546142578,1132.770874023438,NA,6.084420204162598,1.419986963272095,Sí,6,NA,0.2476424872875214,NA,0.2730000019073486
698,OMN,Oman,Asia,Middle East & North Africa,4.97498607635498,36477.63671875,NA,5.413209915161133,8.637691497802734,Sí,3,NA,16.51832008361816,NA,0.1420000046491623
565,"NAM",Namibia,Africa,Sub-Saharan Africa,2.494529962539673,9043.1201171875,NA,8.927029609680176,3.09293270111084,Sí,2,NA,1.724811553955078,NA,0.5649999976158142
970,NRU,Nauru,Oceania,East Asia & Pacific,NA,NA,NA,5.596539974212646,NA,Sí,NA,NA,4.945598125457764,NA,NA
790,NPL,Nepal,Asia,South Asia,28.60870933532715,2727.423828125,NA,3.485680818557739,1.376579284667969,Sí,1,NA,0.4664875268936157,NA,0.4600000083446503
210,NLD,Netherlands (the),Europe,Europe & Central Asia,17.09712982177734,47474.109375,5306,5.159860134124756,1.322929978370667,Sí,3,0.5951345,8.437074661254883,29.20000076293945,0.8230000138282776
935,VUT,Vanuatu,Oceania,East Asia & Pacific,NA,NA,NA,1.777879953384399,NA,Sí,NA,NA,0.6898726224899292,32.29999923706055,0.6470000147819519
920,NZL,New Zealand,Oceania,East Asia & Pacific,4.783062934875488,35336.13671875,6851,5.16372013092041,1.391040086746216,No,2,0.59502488,6.830414295196533,NA,0.8479999899864197
93,NIC,Nicaragua,Americas,Latin America & Caribbean,6.545502185821533,4952.47705078125,NA,4.599999904632568,0.6068756580352783,Sí,2,0.0425,0.7863234877586365,NA,0.0579999983310699
436,NER,Niger (the),Africa,Sub-Saharan Africa,23.31071472167969,964.66009521484375,NA,3.527529954910278,2.651043891906738,NA,5,NA,0.091710276901722,37.29999923706055,0.4000000059604645
475,NGA,Nigeria,Africa,Sub-Saharan Africa,200.9635925292969,5237.662109375,NA,NA,0.4591705203056335,Sí,3,0.13082932,0.5670312643051147,35.09999847412109,0.3810000121593475
385,NOR,Norway,Europe,Europe & Central Asia,5.378857135772705,84580.1328125,3249,7.938389778137207,1.858434200286865,Sí,3,0.72840017,6.722270011901855,27.70000076293945,0.8550000190734863
987,FSM,Micronesia (Federated States of),Oceania,East Asia & Pacific,NA,NA,NA,9.697050094604492,NA,Sí,NA,NA,1.616103649139404,NA,NA
983,MHL,Marshall Islands,Oceania,East Asia & Pacific,NA,NA,NA,15.75,NA,Sí,NA,NA,4.024324893951416,35.5,NA
986,PLW,Palau,Oceania,East Asia & Pacific,NA,NA,NA,6.809999942779541,NA,Sí,NA,NA,13.95400714874268,NA,NA
770,PAK,Pakistan,Asia,South Asia,216.5653228759766,5510.396484375,NA,2.507550001144409,4.108816146850586,Sí,6,0.23496716,0.8534516096115112,29.60000038146973,0.2179999947547913
95,PAN,Panama,Americas,Latin America & Caribbean,4.246438980102539,22637.1484375,NA,3.127360105514526,NA,Sí,4,NA,3.151777744293213,49.79999923706055,0.5479999780654907
910,PNG,Papua New Guinea,Oceania,East Asia & Pacific,NA,NA,NA,1.677749991416931,0.4110734164714813,Sí,4,NA,0.7943422794342041,NA,0.3350000083446503
150,PRY,Paraguay,Americas,Latin America & Caribbean,7.044635772705078,9338.9482421875,NA,3.469710111618042,0.974312961101532,Sí,4,NA,1.257269144058228,45.70000076293945,0.4189999997615814
135,PER,Peru,Americas,Latin America & Caribbean,32.51045227050781,12310.0849609375,1084,3.819960117340088,1.192773222923279,Sí,3,0.041732226,1.728872537612915,41.59999847412109,0.6740000247955322
840,PHL,Philippines (the),Asia,East Asia & Pacific,108.1166152954102,8139.1396484375,NA,3.355791568756104,0.9202631115913392,Sí,8,0.053398866,1.317439198493958,42.29999923706055,0.300000011920929
290,POL,Poland,Europe,Europe & Central Asia,37.88776779174805,27455.236328125,2700,4.669209957122803,1.971041321754456,Sí,22,0.24827464,7.773642063140869,30.20000076293945,0.5189999938011169
235,PRT,Portugal,Europe,Europe & Central Asia,10.22618675231934,27035.599609375,2075,4.630020141601563,1.781460881233215,Sí,5,0.17011045,4.339768409729004,32.79999923706055,0.8450000286102295
