Renda familiar disponible bruta (RFDB). Revisió estadística 2019. Índex
Municipis. 2019
Font: Idescat.
Nota: Any 2019. Dades provisionals.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=rfdbc&n=13301&by=mun
Codi,Literal,RFDB milers d'euros,RFDB per habitant. Milers d'euros,RFDB per habitant. Índex Catalunya = 100
080734,Cornellà de Llobregat,1498820,16.9,92.9,
170561,Cornellà del Terri,40471,17.1,93.9,
430509,Creixell,56049,15.1,82.9,
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",22433,17.9,98.1,
080749,Cubelles,270648,17.7,97.4,
430516,Cunit,189226,14.4,78.9,
439018,Deltebre,155204,13.5,74.1,
080752,Dosrius,99850,18.2,99.7,
170622,"Escala, l'",155058,15.4,84.7,
080765,Esparreguera,388280,17.6,96.4,
430542,"Espluga de Francolí, l'",61969,16.7,91.6,
080771,Esplugues de Llobregat,1035906,22.3,122.2,
082541,"Esquirol, l'",39784,18.5,101.3,
430555,Falset,43815,15.8,86.8,
081347,Figaró-Montmany,17300,15.4,84.4,
170669,Figueres,642398,14.0,76.9,
170675,Flaçà,18280,16.9,92.9,
430607,Flix,59559,17.7,97.0,
080826,Fogars de la Selva,24145,16.9,92.6,
080832,Folgueroles,43181,19.3,105.9,
080847,Fonollosa,27203,18.9,103.5,
170715,Fontcoberta,26083,17.9,98.1,
080850,Font-rubí,22770,16.6,91.2,
179026,Forallac,30102,18.1,99.3,
170736,Fornells de la Selva,56648,21.9,120.3,
080863,"Franqueses del Vallès, les",328354,16.3,89.3,
250962,"Fuliola, la",16769,13.5,74.1,
430640,Gandesa,46641,15.3,84.2,
080885,"Garriga, la",312531,18.9,103.7,
080898,Gavà,891067,19.1,105.1,
080919,Gelida,129058,17.0,93.2,
259123,Gimenells i el Pla de la Font,14765,13.5,73.8,
170792,Girona,1897104,19.0,104.4,
080924,Gironella,84039,17.3,94.8,
250997,Golmés,28660,15.3,84.1,
080945,"Granada, la",37661,17.2,94.7,
080961,Granollers,1092252,17.7,97.2,
080977,Gualba,26659,17.5,96.3,
251109,Guissona,106402,15.1,82.9,
081000,Gurb,68316,25.7,140.8,
430712,Horta de Sant Joan,16994,15.0,82.4,
081017,"Hospitalet de Llobregat, l'",4200120,15.8,86.9,
081629,"Hostalets de Pierola, els",49427,16.6,91.1,
170834,Hostalric,65673,15.7,86.4,
081022,Igualada,686043,17.0,93.2,
251155,Isona i Conca Dellà,15883,15.6,85.7,
251137,Ivars d'Urgell,23521,15.2,83.2,
170865,"Jonquera, la",42111,13.0,71.6,
251193,Juneda,49212,14.1,77.1,
251229,Linyola,36756,13.4,73.6,
081056,"Llagosta, la",212395,15.7,86.4,
170890,Llagostera,132079,15.9,87.3,
170926,Llançà,74383,15.9,87.0,
251207,Lleida,2284765,16.6,91.2,
170932,Llers,20865,17.3,94.7,
081075,Lliçà d'Amunt,289915,18.9,103.9,
081081,Lliçà de Vall,131366,20.2,110.9,
081069,Llinars del Vallès,178788,18.0,98.6,
170947,Llívia,22799,16.1,88.5,
430748,Llorenç del Penedès,38070,16.0,87.8,
170950,Lloret de Mar,465282,12.3,67.2,
171030,Maçanet de la Selva,111342,16.1,88.6,
081108,Malgrat de Mar,290822,15.8,86.5,
081120,Manlleu,315782,15.4,84.6,
081136,Manresa,1306365,16.9,92.8,
081141,Martorell,451307,16.0,87.7,
081154,Martorelles,89122,18.6,102.0,
430786,Masdenverge,14990,13.8,75.9,
081173,"Masies de Voltregà, les",55949,18.1,99.2,
081189,"Masnou, el",486239,20.8,114.2,
081192,Masquefa,149521,16.1,88.1,
081206,Matadepera,264336,28.1,154.4,
081213,Mataró,2043183,16.0,88.1,
081228,Mediona,35557,15.2,83.2,
251351,Miralcamp,19530,14.1,77.4,
081385,Moià,99465,15.9,87.1,
081234,Molins de Rei,521823,20.3,111.5,
251370,Mollerussa,225951,15.2,83.6,
081249,Mollet del Vallès,862193,16.8,92.2,
081271,Monistrol de Montserrat,50919,16.7,91.4,
430862,Montblanc,124858,17.1,93.7,
430884,Montbrió del Camp,47165,16.2,88.7,
081252,Montcada i Reixac,602022,16.5,90.6,
081311,Montesquiu,16442,16.4,90.1,
251403,Montferrer i Castellbò,13548,13.1,72.1,
081265,Montgat,233121,19.5,106.9,
430901,"Montmell, el",20681,13.4,73.8,
081350,Montmeló,148432,16.9,92.9,
081363,Montornès del Vallès,273403,16.6,91.1,
171100,Mont-ras,32018,19.4,106.3,
430923,Mont-roig del Camp,177662,14.4,78.8,
430939,Móra d'Ebre,84522,15.0,82.4,
430944,Móra la Nova,44077,14.4,79.0,
430957,"Morell, el",60084,16.1,88.3,
250254,Naut Aran,32018,17.8,97.8,
081402,Navarcles,107630,18.1,99.1,
081419,Navàs,103189,17.3,95.0,
171117,Navata,24460,17.8,97.9,
081430,Òdena,58824,16.1,88.3,
081458,Olèrdola,65481,17.5,96.3,
081461,Olesa de Bonesvalls,33377,18.3,100.3,
081477,Olesa de Montserrat,407364,17.1,93.8,
251497,Oliana,29171,16.1,88.2,
081483,Olivella,71205,18.8,103.1,
081496,Olost,21109,17.8,97.8,
171143,Olot,598862,17.2,94.2,
081555,Palafolls,150835,16.1,88.2,
171175,Palafrugell,323898,14.2,78.2,
171181,Palamós,285276,16.1,88.3,
251581,"Palau d'Anglesola, el",36917,16.8,92.4,
171208,Palau-saverdera,20187,14.1,77.4,
081568,Palau-solità i Plegamans,275674,18.6,102.2,
431009,"Pallaresos, els",86756,18.0,98.6,
081574,Pallejà,231497,20.2,110.8,
089058,"Palma de Cervelló, la",60972,20.7,113.5,
171241,Pals,40970,17.3,95.1,
081580,"Papiol, el",77772,18.9,103.5,
081593,Parets del Vallès,345313,18.1,99.6,
431037,Perafort,20504,16.2,88.9,
171328,Peralada,35633,19.5,106.9,
431042,"Perelló, el",35352,12.7,69.6,
081614,Piera,249831,15.7,86.4,
081635,Pineda de Mar,403243,14.8,81.1,
431080,"Pla de Santa Maria, el",36202,15.4,84.7,
081640,"Pla del Penedès, el",20420,16.1,88.5,
171334,"Planes d'Hostoles, les",28740,17.3,94.8,
081653,"Pobla de Claramunt, la",35816,16.3,89.7,
081666,"Pobla de Lillet, la",19834,18.2,99.9,
431093,"Pobla de Mafumet, la",50115,12.7,69.6,
431114,"Pobla de Montornès, la",44943,15.7,85.9,
251713,"Pobla de Segur, la",47210,15.9,87.1,
081672,Polinyà,143912,17.0,93.2,
251734,"Pont de Suert, el",35927,15.9,87.5,
081825,"Pont de Vilomara i Rocafort, el",59868,15.6,85.8,
251728,Ponts,40593,15.7,86.2,
171371,Porqueres,78358,17.0,93.1,
171387,Portbou,17262,16.5,90.8,
081691,"Prat de Llobregat, el",1146933,17.8,97.6,
081712,Prats de Lluçanès,46025,18.0,98.9,
082303,Premià de Dalt,224795,21.8,119.6,
081727,Premià de Mar,527289,18.8,103.5,
171390,"Preses, les",33400,18.7,102.6,
171411,Puigcerdà,129553,13.9,76.4,
431191,Puigpelat,17450,15.0,82.6,
081751,Puig-reig,71762,17.0,93.4,
251826,Puigverd de Lleida,20763,15.6,85.7,
