Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2021,Música,"Pública no municipal",Festivals,6,"Els vespres d'hivern",4/2/2021,18/2/2021,150,,"Paranimf Universitat de Barcelona","Universitat de Barcelona","A banda del públic presencial, van registrar-se 200 usuaris en línia"
2021,"Multidisciplinaris i altres",Municipal,Festivals,11,Endorfines,15/7/2021,29/7/2021,,,,"Centre Cultural La Farinera del Clot. Ajuntament de Barcelona",
2021,"Arts visuals",Municipal,Festivals,11,Enfocats,13/5/2021,21/5/2021,80,,"CC Pati Llimona","Centre Cívic Pati Llimona. Ajuntament de Barcelona",Presencial
2021,"Arts escèniques",Privada,Festivals,20,"Escena Poblenou",21/10/2021,24/10/2021,1000,0,"Centre Cívic Can Felipa","Associació Festival de creació contemporània Escena Poblenou",Presencial
2021,"Multidisciplinaris i altres",Mixta,Festivals,,"Etnoscòpic, Festival d'arts contemporànies",27/5/2021,30/5/2021,,,,-1,
2021,Lletres,Privada,Festivals,8,"Festival Alcools",19/1/2021,15/5/2021,382,,"Sala Beckett","Fundació Sala Beckett / Obrador Internacional de Dramatúrgia",Presencial
2021,Lletres,Privada,Festivals,9,"Festival Alcools",16/9/2021,19/10/2021,540,,"Sala Beckett","Fundació Sala Beckett / Obrador Internacional de Dramatúrgia",Presencial
2021,Audiovisuals,Privada,Festivals,,"Festival Antic Horror Picture Show",31/10/2021,31/10/2021,,,,"Antic Teatre",
2021,Música,Municipal,Festivals,11,"Festival Brot",30/9/2021,23/10/2021,550,,"Espais Joves de la ciutat","Departament de Joventut. Ajuntament de Barcelona",Presencial
2021,Música,Privada,Festivals,7,"Festival Cara - B",24/3/2021,28/3/2021,,,"Fabra i Coats","Associació Isla Elefante Projectes Culturals",Presencial
2021,"Multidisciplinaris i altres",Privada,Festivals,3,"Festival Clàssics - La Ira",5/11/2021,21/12/2021,,,"Diversos espais de la ciutat","La Casa dels Clàssics",Presencial
2021,Música,Privada,Festivals,11,"Festival Cruïlla",8/7/2021,10/7/2021,45630,,"Parc del Fòrum","Barcelona Events Musicals SL",Presencial
2021,"Multidisciplinaris i altres",Municipal,Festivals,,"Festival d'estiu LLIMONADES",1/7/2021,22/7/2021,,,,"Centre Cívic Pati Llimona. Ajuntament de Barcelona",
2021,"Arts escèniques",Municipal,Festivals,17,"Festival Dansat",16/10/2021,24/10/2021,480,,SAT!,"saT! Sant Andreu Teatre. Ajuntament de Barcelona",Presencial
2021,Música,Privada,Festivals,19,"Festival de Blues de Barcelona",1/7/2021,11/7/2021,2190,0,"Pati de la Seu del Districte de Nou Barris","Associació Capibola Blues",Presencial
2021,Audiovisuals,Privada,Festivals,18,"Festival de Cinema i Drets Humans de Barcelona",1/12/2021,10/12/2021,,,,"Ass. Derechos en Acción","Va celebrar-se únicament en format virtual amb 10.000 usuaris"
2021,Audiovisuals,Privada,Festivals,23,"Festival de Cinema Jueu de Barcelona",6/10/2021,21/10/2021,2000,200,"Filmoteca de Catalunya","Ass. festival de cinema jueu de Barcelona",Presencial
2021,"Multidisciplinaris i altres",Privada,Festivals,19,"Festival de Cultura Raval(s)",3/11/2021,7/11/2021,2700,,,"Fundació Tot Raval",Presencial
2021,Música,Privada,Festivals,4,"Festival de Fado",29/9/2021,30/9/2021,2000,,"Sala Barts","ALTO E BOM SOM",Presencial
2021,"Arts escèniques",Privada,Festivals,17,"Festival elPetit",13/11/2021,28/11/2021,2338,5360,"Mercat de les Flors, SAT! Sant Andreu Teatre i Fàbrica de Creació Fabra i Coats","Rialles Espectacles Infantils i Juvenils","A banda del públic presencial, van registrar-se 20 usuaris en línia"
2021,Música,"Consorci o fundació amb presència municipal",Festivals,,"Festival Emergents Barcelona",26/3/2021,28/3/2021,,,,"Consorci de L'Auditori i l'Orquestra",
2021,Música,Privada,Festivals,34,"Festival Folk Internacional Tradicionàrius",15/1/2021,26/3/2021,7000,,"Centre Artesà Tradicionàrius","Associació Cultural TRAM","A banda del públic presencial, van registrar-se 5.000 usuaris en línia"
2021,Audiovisuals,Privada,Festivals,19,"Festival In-Edit",28/10/2021,7/11/2021,24652,,"Cinemes Aribau","Inedit Producciones S.L","A banda del públic presencial, van registrar-se 4.121 usuaris en línia"
2021,Audiovisuals,Privada,Festivals,9,"Festival Inclús",23/11/2021,30/11/2021,3000,,CaixaForum,"Associació Inclús",Presencial
2021,Música,Privada,Festivals,56,"Festival Internacional de Cant Coral a Barcelona",5/7/2021,11/7/2021,1000,0,"Església de Santa Maria del Pi","FCEC - Federació Catalana dEntitats Corals","A banda del públic presencial, van registrar-se 700 usuaris en línia"
2021,Audiovisuals,Privada,Festivals,,"Festival Internacional de Cine de Barcelona - Sant Jordi",15/4/2021,23/4/2021,,,,"ESPECTARAMA S.A.",
2021,Audiovisuals,Privada,Festivals,11,"Festival Internacional de cine Nunes",14/12/2021,18/12/2021,,,,A.I.P.D.A.,
2021,Música,Privada,Festivals,3,"Festival Internacional de Guitarra ""Ferran Sor""",13/9/2021,19/9/2021,,,"Auditori Eduard Toldrá - CMMB","Societat Sor de Barcelona","Format mixt, amb activitats presencials i virtuals"
2021,"Arts escèniques",Privada,Festivals,16,"Festival Internacional de Putxinel·lis d'Hivern",1/10/2021,24/10/2021,,,"Teatre la Puntual","La Puntual",Presencial
2021,Música,Privada,Festivals,9,"Festival Jardins de Pedralbes",1/6/2021,23/7/2021,,,"Jardins de Pedralbes","Concert Studio",Presencial
2021,Música,Privada,Festivals,31,"Festival l'Hora del Jazz. Memorial Tete Montoliu",11/9/2021,3/10/2021,300,480,"Plaça de les Dones del 36, Gràcia","Associació de Músics de Jazz i Música Moderna de Catalunya (AMJM)",Presencial
2021,Música,Privada,Festivals,26,"Festival LEM",1/10/2021,30/10/2021,1391,,,"Gràcia Territori Sonor","A banda del públic presencial, van registrar-se 1.500 usuaris en línia"
2021,Lletres,"Consorci o fundació amb presència municipal",Festivals,,"Festival Literatura en Trànsit",29/9/2021,2/10/2021,,,,"Biblioteques de Barcelona",
2021,Música,"Consorci o fundació amb presència municipal",Festivals,3,"Festival Llums d'Antiga",12/5/2021,28/5/2021,,,,"Consorci de L'Auditori i l'Orquestra",
2021,Audiovisuals,Mixta,Festivals,27,"Festival Miniput",27/11/2021,27/11/2021,781,,CCCB,"UPF, TVC",Presencial
