Migracions. Totals
Municipis. 2021
Font: Idescat, a partir de l'Estadística de variacions residencials de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=mm&n=5489&by=mun
Codi;Literal;Migracions internes  amb la resta de Catalunya  immigracions;Migracions internes  amb la resta de Catalunya  emigracions;Migracions internes  amb la resta de Catalunya  saldo migratori;Migracions internes  amb la resta d'Espanya  immigracions;Migracions internes  amb la resta d'Espanya  emigracions;Migracions internes  amb la resta d'Espanya  saldo migratori;Migracions externes  immigracions;Migracions externes  emigracions;Migracions externes  saldo migratori;Saldo migratori total
080193;Barcelona;33818;48939;-15121;15751;16715;-964;57082;49223;7859;-8226;
250426;Baronia de Rialb, la;14;7;7;0;2;-2;2;1;1;6;
170160;Bàscara;55;34;21;7;0;7;7;11;-4;24;
250447;Bassella;7;5;2;0;1;-1;2;1;1;2;
430228;Batea;43;37;6;13;4;9;22;5;17;32;
250450;Bausen;2;2;0;2;1;1;1;1;0;1;
080207;Begues;344;304;40;35;58;-23;86;30;56;73;
170139;Begur;203;184;19;24;22;2;140;31;109;130;
250463;Belianes;14;8;6;1;1;0;0;7;-7;-1;
251706;Bellaguarda;9;10;-1;0;2;-2;1;1;0;-3;
170182;Bellcaire d'Empordà;49;33;16;4;1;3;7;0;7;26;
250479;Bellcaire d'Urgell;41;35;6;5;5;0;22;24;-2;4;
250485;Bell-lloc d'Urgell;114;76;38;9;13;-4;28;30;-2;32;
250498;Bellmunt d'Urgell;10;9;1;0;0;0;1;1;0;1;
430234;Bellmunt del Priorat;3;7;-4;1;0;1;2;0;2;-1;
080214;Bellprat;1;1;0;1;1;0;1;0;1;1;
250501;Bellpuig;198;168;30;39;31;8;88;30;58;96;
430249;Bellvei;159;129;30;30;18;12;26;13;13;55;
250518;Bellver de Cerdanya;153;101;52;6;12;-6;22;6;16;62;
250523;Bellvís;45;57;-12;12;9;3;36;24;12;3;
250539;Benavent de Segrià;83;55;28;11;11;0;14;8;6;34;
430252;Benifallet;19;25;-6;3;6;-3;23;4;19;10;
430265;Benissanet;48;23;25;4;7;-3;26;2;24;46;
080229;Berga;606;614;-8;79;81;-2;304;53;251;241;
170195;Besalú;73;96;-23;12;10;2;23;7;16;-5;
170209;Bescanó;175;132;43;14;20;-6;42;6;36;73;
170216;Beuda;18;5;13;0;2;-2;3;1;2;13;
080235;Bigues i Riells del Fai;647;416;231;52;52;0;32;50;-18;213;
250557;Biosca;15;10;5;1;0;1;5;0;5;11;
170221;Bisbal d'Empordà, la;385;424;-39;64;31;33;172;183;-11;-17;
430271;Bisbal de Falset, la;3;6;-3;1;0;1;1;0;1;-1;
430287;Bisbal del Penedès, la;421;184;237;21;21;0;39;13;26;263;
172348;Biure;16;12;4;1;0;1;1;0;1;6;
430290;Blancafort;16;14;2;0;1;-1;3;3;0;1;
170237;Blanes;1505;1328;177;298;260;38;773;513;260;475;
170293;Boadella i les Escaules;17;22;-5;0;0;0;2;1;1;-4;
170242;Bolvir;61;32;29;3;3;0;3;10;-7;22;
430304;Bonastre;73;66;7;9;3;6;6;3;3;16;
250576;Bòrdes, Es;20;10;10;2;12;-10;1;1;0;0;
170255;Bordils;117;96;21;5;11;-6;29;5;24;39;
250582;Borges Blanques, les;210;185;25;59;31;28;84;45;39;92;
430311;Borges del Camp, les;122;94;28;14;10;4;38;11;27;59;
170268;Borrassà;51;28;23;1;2;-1;5;1;4;26;
080240;Borredà;26;20;6;1;1;0;4;2;2;8;
250595;Bossòst;49;40;9;14;17;-3;18;2;16;22;
