Migracions. Totals
Municipis. 2021
Font: Idescat, a partir de l'Estadística de variacions residencials de l'INE.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=mm&n=5489&by=mun
Codi;Literal;Migracions internes  amb la resta de Catalunya  immigracions;Migracions internes  amb la resta de Catalunya  emigracions;Migracions internes  amb la resta de Catalunya  saldo migratori;Migracions internes  amb la resta d'Espanya  immigracions;Migracions internes  amb la resta d'Espanya  emigracions;Migracions internes  amb la resta d'Espanya  saldo migratori;Migracions externes  immigracions;Migracions externes  emigracions;Migracions externes  saldo migratori;Saldo migratori total
251253;Llardecans;9;12;-3;5;2;3;4;1;3;3;
251266;Llavorsí;18;19;-1;3;2;1;6;0;6;6;
251207;Lleida;2703;2979;-276;1564;1338;226;2870;2010;860;810;
170932;Llers;53;53;0;9;11;-2;12;0;12;10;
251272;Lles de Cerdanya;18;12;6;1;0;1;5;7;-2;5;
081075;Lliçà d'Amunt;801;647;154;59;68;-9;60;39;21;166;
081081;Lliçà de Vall;430;287;143;16;25;-9;16;5;11;145;
251288;Llimiana;6;18;-12;4;0;4;3;0;3;-5;
081069;Llinars del Vallès;623;409;214;36;69;-33;66;60;6;187;
170947;Llívia;85;83;2;10;6;4;12;8;4;10;
430727;Lloar, el;1;8;-7;0;0;0;0;0;0;-7;
251291;Llobera;14;1;13;1;0;1;0;0;0;14;
430733;Llorac;6;2;4;0;0;0;1;7;-6;-2;
430748;Llorenç del Penedès;125;100;25;11;12;-1;12;13;-1;23;
170950;Lloret de Mar;1248;1057;191;321;330;-9;1810;1383;427;609;
170963;Llosses, les;11;13;-2;0;0;0;0;0;0;-2;
081094;Lluçà;11;5;6;2;0;2;2;0;2;10;
171024;Maçanet de Cabrenys;34;43;-9;5;12;-7;9;1;8;-8;
171030;Maçanet de la Selva;515;329;186;44;48;-4;94;64;30;212;
170979;Madremanya;14;7;7;4;3;1;3;2;1;9;
170985;Maià de Montcal;42;43;-1;1;1;0;11;16;-5;-6;
251333;Maials;16;21;-5;6;2;4;8;14;-6;-7;
251305;Maldà;15;15;0;0;1;-1;6;0;6;5;
081108;Malgrat de Mar;925;709;216;109;111;-2;251;155;96;310;
081115;Malla;10;16;-6;2;0;2;1;0;1;-3;
081120;Manlleu;583;621;-38;132;113;19;377;285;92;73;
081136;Manresa;2161;2590;-429;469;480;-11;1328;1097;231;-209;
430764;Marçà;29;44;-15;6;1;5;4;4;0;-10;
430751;Margalef;11;9;2;3;0;3;2;1;1;6;
082423;Marganell;22;9;13;0;0;0;2;1;1;14;
081141;Martorell;986;1146;-160;188;214;-26;482;130;352;166;
081154;Martorelles;228;218;10;16;29;-13;40;7;33;30;
430770;Mas de Barberans;13;20;-7;5;3;2;3;5;-2;-7;
171002;Masarac;17;8;9;0;1;-1;7;4;3;11;
430786;Masdenverge;67;47;20;25;16;9;20;2;18;47;
081167;Masies de Roda, les;47;30;17;4;0;4;8;4;4;25;
081173;Masies de Voltregà, les;85;106;-21;7;12;-5;16;7;9;-17;
430799;Masllorenç;54;20;34;1;2;-1;4;1;3;36;
081189;Masnou, el;1079;1106;-27;111;140;-29;311;157;154;98;
430803;Masó, la;13;4;9;1;3;-2;1;2;-1;6;
430810;Maspujols;65;40;25;6;1;5;4;2;2;32;
081192;Masquefa;556;450;106;39;33;6;57;52;5;117;
430825;Masroig, el;25;36;-11;2;4;-2;11;0;11;-2;
251312;Massalcoreig;8;9;-1;16;14;2;17;13;4;5;
171019;Massanes;54;39;15;4;7;-3;16;6;10;22;
251327;Massoteres;12;14;-2;3;5;-2;1;0;1;-3;
081206;Matadepera;499;391;108;19;49;-30;51;37;14;92;
081213;Mataró;3399;3542;-143;652;859;-207;2107;1783;324;-26;
081228;Mediona;244;122;122;7;16;-9;17;4;13;126;
251348;Menàrguens;36;20;16;3;12;-9;4;1;3;10;
170998;Meranges;14;0;14;0;0;0;1;0;1;15;
171058;Mieres;21;28;-7;0;2;-2;4;0;4;-5;
430831;Milà, el;13;13;0;0;0;0;0;2;-2;-2;
251351;Miralcamp;34;35;-1;2;1;1;16;20;-4;-4;
430846;Miravet;18;25;-7;5;3;2;11;7;4;-1;
081385;Moià;338;270;68;30;40;-10;91;42;49;107;
430859;Molar, el;5;7;-2;2;3;-1;2;6;-4;-7;
081234;Molins de Rei;902;847;55;98;103;-5;217;77;140;190;
251370;Mollerussa;479;515;-36;125;81;44;289;138;151;159;
171061;Mollet de Peralada;12;12;0;2;0;2;5;0;5;7;
081249;Mollet del Vallès;1721;1771;-50;250;284;-34;655;385;270;186;
171077;Molló;40;17;23;0;0;0;0;3;-3;20;
251364;Molsosa, la;1;3;-2;0;0;0;0;0;0;-2;
081287;Monistrol de Calders;71;33;38;0;3;-3;1;0;1;36;
081271;Monistrol de Montserrat;192;217;-25;23;27;-4;52;18;34;5;
171096;Montagut i Oix;61;57;4;6;3;3;3;1;2;9;
430862;Montblanc;195;197;-2;27;27;0;57;56;1;-1;
430884;Montbrió del Camp;208;156;52;5;15;-10;29;12;17;59;
081252;Montcada i Reixac;1516;1606;-90;167;211;-44;545;391;154;20;
081304;Montclar;1;1;0;0;0;0;0;0;0;0;
251399;Montellà i Martinet;57;37;20;2;1;1;9;1;8;29;
081311;Montesquiu;82;62;20;5;7;-2;8;1;7;25;
251403;Montferrer i Castellbò;68;67;1;14;10;4;25;25;0;5;
430897;Montferri;54;40;14;1;1;0;6;0;6;20;
251386;Montgai;28;19;9;3;2;1;4;0;4;14;
081265;Montgat;589;650;-61;56;89;-33;158;133;25;-69;
081326;Montmajor;26;18;8;5;1;4;5;1;4;16;
081332;Montmaneu;19;13;6;2;0;2;2;0;2;10;
430901;Montmell, el;231;98;133;6;17;-11;17;7;10;132;
081350;Montmeló;292;289;3;29;48;-19;80;51;29;13;
251425;Montoliu de Lleida;24;21;3;3;1;2;3;0;3;8;
251410;Montoliu de Segarra;11;17;-6;2;2;0;0;2;-2;-8;
251431;Montornès de Segarra;4;1;3;0;0;0;0;0;0;3;
081363;Montornès del Vallès;519;575;-56;64;75;-11;182;179;3;-64;
430918;Mont-ral;12;9;3;1;0;1;5;1;4;8;
171100;Mont-ras;81;80;1;5;9;-4;11;2;9;6;
430923;Mont-roig del Camp;891;604;287;137;122;15;333;569;-236;66;
081379;Montseny;39;34;5;2;2;0;2;1;1;6;
430939;Móra d'Ebre;231;226;5;56;32;24;64;34;30;59;
430944;Móra la Nova;141;80;61;25;19;6;53;45;8;75;
430957;Morell, el;221;188;33;30;21;9;53;26;27;69;
430960;Morera de Montsant, la;9;8;1;2;0;2;3;0;3;6;
081290;Muntanyola;70;24;46;1;0;1;0;2;-2;45;
081398;Mura;6;3;3;0;0;0;0;1;-1;2;
251459;Nalec;6;1;5;2;0;2;1;1;0;7;
250254;Naut Aran;80;59;21;63;103;-40;19;8;11;-8;
081402;Navarcles;220;188;32;28;20;8;30;22;8;48;
081419;Navàs;206;177;29;14;15;-1;56;16;40;68;
171117;Navata;104;75;29;10;18;-8;23;14;9;30;
251462;Navès;24;3;21;0;2;-2;1;0;1;20;
081424;Nou de Berguedà, la;11;7;4;0;0;0;2;0;2;6;
430976;Nou de Gaià, la;41;23;18;1;1;0;8;4;4;22;
430982;Nulles;35;18;17;3;2;1;3;0;3;21;
251484;Odèn;4;6;-2;2;0;2;2;2;0;0;
081430;Òdena;233;196;37;23;16;7;25;20;5;49;
171122;Ogassa;13;26;-13;0;4;-4;1;0;1;-16;
081458;Olèrdola;234;198;36;11;23;-12;29;26;3;27;
081461;Olesa de Bonesvalls;179;74;105;4;7;-3;11;9;2;104;
081477;Olesa de Montserrat;810;733;77;94;125;-31;180;44;136;182;
251497;Oliana;40;50;-10;11;12;-1;37;17;20;9;
251500;Oliola;2;3;-1;0;0;0;0;0;0;-1;
251517;Olius;49;26;23;2;1;1;2;5;-3;21;
081483;Olivella;429;274;155;29;31;-2;90;19;71;224;
081496;Olost;66;41;25;2;5;-3;6;1;5;27;
171143;Olot;969;902;67;309;162;147;624;189;435;649;
251522;Oluges, les;4;6;-2;1;0;1;1;0;1;0;
081445;Olvan;60;43;17;1;6;-5;3;0;3;15;
251538;Omellons, els;3;3;0;0;0;0;0;0;0;0;
251543;Omells de na Gaia, els;3;2;1;0;0;0;0;1;-1;0;
171156;Ordis;13;5;8;0;1;-1;1;1;0;7;
251556;Organyà;51;19;32;2;5;-3;13;2;11;40;
081509;Orís;28;22;6;0;1;-1;0;0;0;5;
081516;Oristà;45;24;21;1;2;-1;1;0;1;21;
081521;Orpí;4;0;4;0;0;0;0;0;0;4;
081537;Òrrius;64;47;17;1;2;-1;1;5;-4;12;
251569;Os de Balaguer;91;48;43;0;3;-3;9;0;9;49;
171169;Osor;24;28;-4;6;2;4;3;2;1;1;
251575;Ossó de Sió;6;8;-2;0;0;0;1;0;1;-1;
081542;Pacs del Penedès;62;46;16;6;2;4;2;1;1;21;
081555;Palafolls;439;435;4;31;37;-6;62;45;17;15;
171175;Palafrugell;739;638;101;105;119;-14;443;201;242;329;
171181;Palamós;732;685;47;87;108;-21;308;285;23;49;
251581;Palau d'Anglesola, el;76;68;8;12;13;-1;15;18;-3;4;
171194;Palau de Santa Eulàlia;7;8;-1;4;1;3;3;0;3;5;
171215;Palau-sator;20;17;3;3;5;-2;7;1;6;7;
171208;Palau-saverdera;67;77;-10;4;10;-6;26;44;-18;-34;
081568;Palau-solità i Plegamans;644;580;64;39;58;-19;74;81;-7;38;
431009;Pallaresos, els;238;177;61;14;12;2;16;11;5;68;
081574;Pallejà;408;417;-9;40;68;-28;54;38;16;-21;
430995;Palma d'Ebre, la;11;2;9;1;1;0;5;1;4;13;
089058;Palma de Cervelló, la;145;138;7;5;17;-12;26;17;9;4;
171236;Palol de Revardit;30;25;5;0;0;0;3;0;3;8;
171241;Pals;158;131;27;13;16;-3;56;37;19;43;
081580;Papiol, el;200;164;36;12;16;-4;37;23;14;46;
171254;Pardines;3;2;1;0;0;0;0;1;-1;0;
081593;Parets del Vallès;768;758;10;74;100;-26;137;121;16;0;
171267;Parlavà;22;14;8;0;1;-1;0;0;0;7;
431016;Passanant i Belltall;9;8;1;2;0;2;2;2;0;3;
171289;Pau;23;23;0;3;0;3;9;3;6;9;
431021;Paüls;12;6;6;0;3;-3;7;2;5;8;
171292;Pedret i Marzà;6;7;-1;0;3;-3;0;2;-2;-6;
251641;Penelles;11;16;-5;1;1;0;0;1;-1;-6;
171306;Pera, la;18;23;-5;1;2;-1;2;0;2;-4;
081607;Perafita;19;8;11;0;1;-1;3;10;-7;3;
431037;Perafort;77;61;16;7;4;3;6;5;1;20;
171328;Peralada;114;74;40;9;16;-7;23;126;-103;-70;
251654;Peramola;15;11;4;5;1;4;2;15;-13;-5;
431042;Perelló, el;102;90;12;16;25;-9;78;199;-121;-118;
081614;Piera;1070;714;356;82;108;-26;125;26;99;429;
431055;Piles, les;9;8;1;0;0;0;4;1;3;4;
081635;Pineda de Mar;1341;1058;283;131;163;-32;408;183;225;476;
431068;Pinell de Brai, el;13;23;-10;7;2;5;17;2;15;10;
251667;Pinell de Solsonès;4;3;1;2;0;2;2;0;2;5;
251673;Pinós;24;14;10;0;4;-4;2;1;1;7;
431074;Pira;12;23;-11;1;0;1;2;3;-1;-11;
431080;Pla de Santa Maria, el;125;143;-18;8;7;1;43;9;34;17;
081640;Pla del Penedès, el;78;60;18;6;8;-2;12;2;10;26;
171334;Planes d'Hostoles, les;80;48;32;7;6;1;16;18;-2;31;
171349;Planoles;19;16;3;4;5;-1;1;4;-3;-1;
259118;Plans de Sió, els;19;25;-6;2;2;0;0;1;-1;-7;
251689;Poal, el;31;18;13;2;3;-1;5;7;-2;10;
251692;Pobla de Cérvoles, la;20;12;8;1;0;1;4;0;4;13;
081653;Pobla de Claramunt, la;139;63;76;4;9;-5;11;5;6;77;
081666;Pobla de Lillet, la;54;28;26;2;3;-1;5;1;4;29;
431093;Pobla de Mafumet, la;191;196;-5;49;34;15;19;14;5;15;
431107;Pobla de Massaluca, la;14;14;0;1;2;-1;5;2;3;2;
431114;Pobla de Montornès, la;253;176;77;27;18;9;22;1;21;107;
251713;Pobla de Segur, la;104;83;21;16;15;1;62;31;31;53;
431129;Poboleda;17;19;-2;0;0;0;4;4;0;-2;
081672;Polinyà;319;391;-72;21;42;-21;38;16;22;-71;
431135;Pont d'Armentera, el;23;18;5;2;3;-1;1;0;1;5;
250306;Pont de Bar, el;10;10;0;0;5;-5;1;0;1;-4;
171352;Pont de Molins;21;21;0;6;0;6;10;0;10;16;
251734;Pont de Suert, el;79;65;14;28;34;-6;28;5;23;31;
081825;Pont de Vilomara i Rocafort, el;193;170;23;10;19;-9;24;3;21;35;
431418;Pontils;18;20;-2;0;0;0;0;0;0;-2;
081688;Pontons;40;51;-11;3;4;-1;9;11;-2;-14;
171365;Pontós;23;11;12;1;1;0;0;13;-13;-1;
251728;Ponts;91;86;5;23;18;5;49;19;30;40;
171371;Porqueres;165;176;-11;6;10;-4;23;6;17;2;
431140;Porrera;9;9;0;4;3;1;1;0;1;2;
171404;Port de la Selva, el;61;54;7;5;4;1;17;14;3;11;
171387;Portbou;45;41;4;11;12;-1;15;4;11;14;
251749;Portella, la;16;43;-27;12;0;12;24;2;22;7;
431153;Pradell de la Teixeta;10;11;-1;0;0;0;8;0;8;7;
431166;Prades;50;26;24;3;2;1;9;3;6;31;
431172;Prat de Comte;8;6;2;0;0;0;1;2;-1;1;
081691;Prat de Llobregat, el;1690;1707;-17;371;462;-91;649;745;-96;-204;
431188;Pratdip;54;36;18;0;4;-4;13;25;-12;2;
081712;Prats de Lluçanès;101;93;8;13;11;2;21;5;16;26;
081705;Prats de Rei, els;21;16;5;3;4;-1;9;1;8;12;
251752;Prats i Sansor;32;24;8;3;1;2;2;3;-1;9;
251765;Preixana;33;20;13;2;1;1;5;0;5;19;
251771;Preixens;19;9;10;0;0;0;0;5;-5;5;
082303;Premià de Dalt;489;542;-53;34;55;-21;94;45;49;-25;
081727;Premià de Mar;1167;1151;16;108;155;-47;365;271;94;63;
171390;Preses, les;60;58;2;4;1;3;10;11;-1;4;
251790;Prullans;26;6;20;0;1;-1;4;3;1;20;
171411;Puigcerdà;314;294;20;99;104;-5;216;254;-38;-23;
081748;Puigdàlber;36;35;1;0;0;0;4;0;4;5;
251804;Puiggròs;12;10;2;0;1;-1;0;0;0;1;
431191;Puigpelat;75;67;8;1;4;-3;4;6;-2;3;
081751;Puig-reig;264;190;74;14;35;-21;59;54;5;58;
251811;Puigverd d'Agramunt;36;9;27;1;3;-2;5;0;5;30;
251826;Puigverd de Lleida;55;43;12;4;2;2;22;24;-2;12;
081764;Pujalt;7;11;-4;1;0;1;0;2;-2;-5;
081770;Quar, la;1;3;-2;0;0;0;0;0;0;-2;
171426;Quart;198;195;3;10;7;3;34;5;29;35;
170433;Queralbs;11;5;6;1;0;1;0;1;-1;6;
431205;Querol;48;27;21;7;7;0;9;2;7;28;
171432;Rabós;11;8;3;2;2;0;2;0;2;5;
081786;Rajadell;22;25;-3;1;2;-1;4;3;1;-3;
431362;Ràpita, la;522;392;130;172;141;31;184;136;48;209;
431212;Rasquera;18;29;-11;3;1;2;11;11;0;-9;
171447;Regencós;11;15;-4;1;0;1;0;3;-3;-6;
081799;Rellinars;85;41;44;6;2;4;0;1;-1;47;
431227;Renau;11;12;-1;2;1;1;1;0;1;1;
431233;Reus;2751;2732;19;715;623;92;1633;1177;456;567;
251832;Rialp;45;45;0;11;0;11;3;0;3;14;
431248;Riba, la;27;44;-17;4;0;4;3;4;-1;-14;
431251;Riba-roja d'Ebre;41;31;10;8;7;1;25;6;19;30;
259059;Ribera d'Ondara;12;8;4;3;0;3;1;0;1;8;
251850;Ribera d'Urgellet;75;61;14;9;9;0;16;35;-19;-5;
171450;Ribes de Freser;90;62;28;5;6;-1;15;14;1;28;
171463;Riells i Viabrea;310;285;25;20;32;-12;34;46;-12;1;
431264;Riera de Gaià, la;74;64;10;4;4;0;5;3;2;12;
251863;Riner;1;1;0;0;0;0;1;1;0;0;
171479;Ripoll;325;341;-16;72;35;37;135;21;114;135;
081803;Ripollet;1266;1416;-150;153;235;-82;542;361;181;-51;
259139;Riu de Cerdanya;9;3;6;0;0;0;0;0;0;6;
171485;Riudarenes;190;138;52;11;24;-13;22;33;-11;28;
171498;Riudaura;32;25;7;0;4;-4;0;1;-1;2;
431270;Riudecanyes;96;30;66;6;8;-2;10;2;8;72;
431286;Riudecols;54;79;-25;3;8;-5;8;3;5;-25;
171501;Riudellots de la Selva;71;80;-9;8;3;5;21;35;-14;-18;
431299;Riudoms;344;232;112;21;28;-7;66;17;49;154;
171518;Riumors;24;21;3;0;0;0;4;1;3;6;
081810;Roca del Vallès, la;525;424;101;19;42;-23;49;53;-4;74;
431303;Rocafort de Queralt;14;7;7;1;0;1;1;0;1;9;
431310;Roda de Berà;697;353;344;68;51;17;113;58;55;416;
081831;Roda de Ter;319;280;39;44;28;16;67;16;51;106;
431325;Rodonyà;34;46;-12;1;0;1;9;2;7;-4;
431331;Roquetes;321;373;-52;44;48;-4;141;59;82;26;
171523;Roses;606;629;-23;154;179;-25;643;541;102;54;
251898;Rosselló;171;94;77;29;19;10;44;9;35;122;
431346;Rourell, el;17;31;-14;1;0;1;20;6;14;1;
081846;Rubí;2510;2532;-22;447;472;-25;985;722;263;216;
081859;Rubió;16;13;3;8;1;7;1;0;1;11;
171539;Rupià;13;10;3;1;0;1;1;0;1;5;
089019;Rupit i Pruit;8;16;-8;0;0;0;0;0;0;-8;
081878;Sabadell;5849;6057;-208;1040;1294;-254;2678;1975;703;241;
081884;Sagàs;12;6;6;0;0;0;0;0;0;6;
251902;Salàs de Pallars;15;12;3;9;1;8;6;0;6;17;
081901;Saldes;30;19;11;0;2;-2;6;1;5;14;
171544;Sales de Llierca;12;8;4;1;0;1;1;1;0;5;
081918;Sallent;249;145;104;29;24;5;46;14;32;141;
431359;Salomó;19;14;5;3;8;-5;8;0;8;8;
439057;Salou;1426;1303;123;415;395;20;963;868;95;238;
171557;Salt;1365;1698;-333;174;185;-11;728;217;511;167;
251919;Sanaüja;17;18;-1;4;2;2;1;0;1;2;
081944;Sant Adrià de Besòs;1851;2001;-150;240;268;-28;757;729;28;-150;
081957;Sant Agustí de Lluçanès;9;2;7;0;0;0;0;0;0;7;
081960;Sant Andreu de la Barca;900;1023;-123;128;195;-67;251;173;78;-112;
081976;Sant Andreu de Llavaneres;843;586;257;66;69;-3;220;76;144;398;
171576;Sant Andreu Salou;8;2;6;0;0;0;3;1;2;8;
171833;Sant Aniol de Finestres;23;29;-6;3;1;2;9;2;7;3;
081982;Sant Antoni de Vilamajor;426;292;134;22;44;-22;27;25;2;114;
081995;Sant Bartomeu del Grau;31;38;-7;2;1;1;18;3;15;9;
082009;Sant Boi de Llobregat;2291;2654;-363;394;454;-60;823;517;306;-117;
082016;Sant Boi de Lluçanès;31;32;-1;7;2;5;8;2;6;10;
082037;Sant Cebrià de Vallalta;269;237;32;25;15;10;26;29;-3;39;
082021;Sant Celoni;794;706;88;94;94;0;175;192;-17;71;
082042;Sant Climent de Llobregat;174;209;-35;11;12;-1;16;8;8;-28;
171582;Sant Climent Sescebes;31;37;-6;38;43;-5;8;4;4;-7;
082055;Sant Cugat del Vallès;3924;3265;659;564;740;-176;1958;398;1560;2043;
082068;Sant Cugat Sesgarrigues;49;30;19;0;6;-6;2;2;0;13;
251961;Sant Esteve de la Sarga;5;2;3;0;0;0;1;0;1;4;
082074;Sant Esteve de Palautordera;182;152;30;19;11;8;37;30;7;45;
082080;Sant Esteve Sesrovires;444;338;106;39;50;-11;37;26;11;106;
171595;Sant Feliu de Buixalleu;87;37;50;0;1;-1;3;21;-18;31;
082107;Sant Feliu de Codines;391;347;44;28;32;-4;84;69;15;55;
171609;Sant Feliu de Guíxols;801;759;42;135;129;6;518;431;87;135;
082114;Sant Feliu de Llobregat;1566;1597;-31;207;283;-76;449;245;204;97;
171616;Sant Feliu de Pallerols;76;91;-15;6;7;-1;91;27;64;48;
082129;Sant Feliu Sasserra;28;34;-6;2;0;2;2;1;1;-3;
171621;Sant Ferriol;19;18;1;0;1;-1;6;1;5;5;
082093;Sant Fost de Campsentelles;517;364;153;25;46;-21;36;24;12;144;
082135;Sant Fruitós de Bages;380;334;46;28;38;-10;50;16;34;70;
171637;Sant Gregori;203;132;71;3;12;-9;24;15;9;71;
251924;Sant Guim de Freixenet;97;46;51;6;4;2;18;7;11;64;
251977;Sant Guim de la Plana;9;2;7;0;0;0;4;0;4;11;
171642;Sant Hilari Sacalm;161;146;15;30;15;15;110;66;44;74;
082153;Sant Hipòlit de Voltregà;180;95;85;13;14;-1;53;15;38;122;
081939;Sant Iscle de Vallalta;98;108;-10;1;9;-8;21;4;17;-1;
439023;Sant Jaume d'Enveja;204;123;81;32;29;3;53;0;53;137;
082166;Sant Jaume de Frontanyà;3;1;2;1;0;1;1;0;1;4;
171655;Sant Jaume de Llierca;42;40;2;0;2;-2;9;14;-5;-5;
431378;Sant Jaume dels Domenys;199;166;33;7;21;-14;15;8;7;26;
171674;Sant Joan de les Abadesses;164;98;66;7;15;-8;28;46;-18;40;
171680;Sant Joan de Mollet;32;19;13;3;4;-1;8;10;-2;10;
082188;Sant Joan de Vilatorrada;397;349;48;24;35;-11;45;112;-67;-30;
082172;Sant Joan Despí;1366;1412;-46;147;215;-68;356;227;129;15;
171851;Sant Joan les Fonts;131;101;30;17;3;14;34;30;4;48;
171668;Sant Jordi Desvalls;49;21;28;1;2;-1;11;16;-5;22;
089030;Sant Julià de Cerdanyola;18;11;7;1;0;1;0;0;0;8;
171693;Sant Julià de Ramis;212;205;7;8;19;-11;38;19;19;15;
082205;Sant Julià de Vilatorta;118;73;45;5;7;-2;13;4;9;52;
179032;Sant Julià del Llor i Bonmatí;79;65;14;7;5;2;29;4;25;41;
082212;Sant Just Desvern;1321;953;368;128;141;-13;336;300;36;391;
082227;Sant Llorenç d'Hortons;140;95;45;7;18;-11;15;12;3;37;
171714;Sant Llorenç de la Muga;22;18;4;0;0;0;2;7;-5;-1;
251930;Sant Llorenç de Morunys;51;28;23;4;7;-3;13;4;9;29;
082233;Sant Llorenç Savall;139;106;33;11;22;-11;13;9;4;26;
082251;Sant Martí d'Albars;14;2;12;1;0;1;0;0;0;13;
082248;Sant Martí de Centelles;126;89;37;7;7;0;7;4;3;40;
171729;Sant Martí de Llémena;54;32;22;1;1;0;1;1;0;22;
259025;Sant Martí de Riucorb;29;23;6;3;0;3;7;1;6;15;
082264;Sant Martí de Tous;42;43;-1;0;0;0;6;4;2;1;
082270;Sant Martí Sarroca;141;140;1;15;5;10;32;7;25;36;
082286;Sant Martí Sesgueioles;26;11;15;0;0;0;1;3;-2;13;
171735;Sant Martí Vell;22;15;7;2;0;2;9;1;8;17;
082299;Sant Mateu de Bages;48;30;18;2;0;2;5;5;0;20;
171740;Sant Miquel de Campmajor;22;20;2;2;1;1;0;4;-4;-1;
171753;Sant Miquel de Fluvià;54;30;24;3;1;2;10;2;8;34;
171766;Sant Mori;12;14;-2;1;2;-1;5;0;5;2;
171772;Sant Pau de Segúries;35;31;4;1;2;-1;7;2;5;8;
082310;Sant Pere de Ribes;1587;1406;181;216;204;12;559;446;113;306;
082325;Sant Pere de Riudebitlles;82;73;9;7;11;-4;11;2;9;14;
082331;Sant Pere de Torelló;95;68;27;4;3;1;25;12;13;41;
082346;Sant Pere de Vilamajor;358;228;130;16;31;-15;22;6;16;131;
171788;Sant Pere Pescador;91;82;9;10;20;-10;75;77;-2;-3;
081897;Sant Pere Sallavinera;14;6;8;0;1;-1;2;0;2;9;
082359;Sant Pol de Mar;372;248;124;22;31;-9;110;108;2;117;
082362;Sant Quintí de Mediona;130;122;8;6;17;-11;38;3;35;32;
082378;Sant Quirze de Besora;78;73;5;6;6;0;19;16;3;8;
082384;Sant Quirze del Vallès;847;817;30;84;94;-10;126;108;18;38;
082397;Sant Quirze Safaja;58;48;10;2;3;-1;4;1;3;12;
251945;Sant Ramon;15;33;-18;0;2;-2;6;1;5;-15;
082401;Sant Sadurní d'Anoia;416;370;46;38;48;-10;96;66;30;66;
082418;Sant Sadurní d'Osormort;14;1;13;1;0;1;0;0;0;14;
080983;Sant Salvador de Guardiola;204;152;52;12;14;-2;77;21;56;106;
082628;Sant Vicenç de Castellet;494;422;72;37;56;-19;113;32;81;134;
082649;Sant Vicenç de Montalt;471;387;84;31;37;-6;108;18;90;168;
082652;Sant Vicenç de Torelló;72;69;3;13;5;8;12;9;3;14;
082634;Sant Vicenç dels Horts;955;983;-28;110;199;-89;164;77;87;-30;
431384;Santa Bàrbara;171;123;48;22;27;-5;45;37;8;51;
082439;Santa Cecília de Voltregà;13;7;6;0;0;0;0;2;-2;4;
082444;Santa Coloma de Cervelló;350;317;33;38;45;-7;31;24;7;33;
171805;Santa Coloma de Farners;520;423;97;73;59;14;165;246;-81;30;
082457;Santa Coloma de Gramenet;4200;5476;-1276;650;755;-105;2345;2027;318;-1063;
431397;Santa Coloma de Queralt;84;63;21;10;6;4;41;5;36;61;
171812;Santa Cristina d'Aro;357;282;75;31;19;12;137;50;87;174;
082460;Santa Eugènia de Berga;79;83;-4;11;2;9;16;9;7;12;
082476;Santa Eulàlia de Riuprimer;50;59;-9;4;2;2;5;4;1;-6;
082482;Santa Eulàlia de Ronçana;467;283;184;21;34;-13;34;12;22;193;
082495;Santa Fe del Penedès;12;18;-6;0;0;0;1;2;-1;-7;
171827;Santa Llogaia d'Àlguema;17;18;-1;0;3;-3;1;4;-3;-7;
082508;Santa Margarida de Montbui;430;425;5;45;27;18;134;59;75;98;
082515;Santa Margarida i els Monjos;290;296;-6;28;48;-20;63;97;-34;-60;
082589;Santa Maria d'Oló;24;22;2;0;2;-2;5;2;3;3;
082536;Santa Maria de Besora;10;10;0;0;0;0;1;2;-1;-1;
082567;Santa Maria de Martorelles;57;48;9;4;4;0;4;1;3;12;
082554;Santa Maria de Merlès;5;3;2;0;0;0;0;0;0;2;
082573;Santa Maria de Miralles;15;4;11;0;0;0;0;1;-1;10;
082592;Santa Maria de Palautordera;547;444;103;53;34;19;65;57;8;130;
431401;Santa Oliva;289;176;113;13;12;1;26;5;21;135;
171848;Santa Pau;91;52;39;4;7;-3;6;1;5;41;
082606;Santa Perpètua de Mogoda;946;988;-42;93;173;-80;256;235;21;-101;
082613;Santa Susanna;333;217;116;19;26;-7;66;60;6;115;
081923;Santpedor;266;214;52;15;19;-4;45;12;33;81;
431423;Sarral;57;29;28;6;5;1;13;5;8;37;
171864;Sarrià de Ter;256;210;46;12;24;-12;57;7;50;84;
252017;Sarroca de Bellera;1;6;-5;0;0;0;0;1;-1;-6;
252000;Sarroca de Lleida;19;12;7;1;0;1;3;0;3;11;
171870;Saus, Camallera i Llampaies;46;40;6;2;3;-1;2;0;2;7;
431439;Savallà del Comtat;1;0;1;1;1;0;0;0;0;1;
431444;Secuita, la;129;94;35;3;13;-10;20;9;11;36;
171886;Selva de Mar, la;16;11;5;0;0;0;5;0;5;10;
431457;Selva del Camp, la;194;184;10;11;20;-9;34;22;12;13;
431460;Senan;2;1;1;1;1;0;0;0;0;1;
430445;Sénia, la;94;117;-23;94;76;18;89;76;13;8;
252022;Senterada;18;10;8;4;0;4;0;0;0;12;
250352;Sentiu de Sió, la;14;21;-7;0;0;0;2;1;1;-6;
082671;Sentmenat;377;345;32;31;46;-15;48;11;37;54;
171903;Serinyà;62;56;6;2;1;1;4;22;-18;-11;
252043;Seròs;19;27;-8;24;11;13;45;74;-29;-24;
171910;Serra de Daró;8;8;0;2;2;0;1;1;0;0;
171925;Setcases;15;7;8;0;0;0;5;0;5;13;
252038;Seu d'Urgell, la;416;348;68;140;181;-41;254;260;-6;21;
