Residus municipals. Generació. Total registrat i generació per càpita
Municipis. 2019
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&by=mun&t=201900
Codi,Literal,Total kg/hab./dia,Recollida no selectiva,Recollida selectiva,Total
081350,Montmeló,1.16,2146.16,1547.64,3693.80,
251425,Montoliu de Lleida,1.15,23.39,181.43,204.82,
251410,Montoliu de Segarra,1.65,65.99,41.63,107.62,
251431,Montornès de Segarra,1.64,36.87,22.94,59.81,
081363,Montornès del Vallès,1.31,4159.28,3659.50,7818.78,
430918,Mont-ral,1.61,58.14,37.12,95.26,
171100,Mont-ras,2.19,761.71,581.45,1343.16,
430923,Mont-roig del Camp,3.13,7380.98,6473.25,13854.23,
081379,Montseny,1.73,79.99,136.26,216.25,
430939,Móra d'Ebre,1.39,1729.22,1153.04,2882.26,
430944,Móra la Nova,1.18,735.41,597.57,1332.98,
430957,"Morell, el",1.24,1057.79,625.34,1683.13,
430960,"Morera de Montsant, la",1.45,32.02,48.29,80.31,
081290,Muntanyola,1.09,59.12,193.68,252.80,
081398,Mura,2.30,110.00,78.06,188.06,
251459,Nalec,1.85,31.23,27.39,58.62,
250254,Naut Aran,2.34,943.60,599.06,1542.66,
081402,Navarcles,1.33,432.98,2462.45,2895.43,
081419,Navàs,1.34,473.58,2477.56,2951.14,
171117,Navata,1.74,308.47,567.59,876.06,
251462,Navès,1.32,86.20,48.39,134.59,
081424,"Nou de Berguedà, la",1.06,23.02,39.16,62.18,
430976,"Nou de Gaià, la",1.18,183.23,76.11,259.34,
430982,Nulles,0.93,86.50,80.61,167.11,
251484,Odèn,1.21,77.01,32.86,109.87,
081430,Òdena,1.42,1457.52,432.07,1889.59,
171122,Ogassa,0.96,43.33,38.65,81.98,
081458,Olèrdola,2.63,1557.00,1987.06,3544.06,
081461,Olesa de Bonesvalls,1.83,813.00,395.80,1208.80,
081477,Olesa de Montserrat,1.23,6720.22,4042.21,10762.43,
251497,Oliana,1.65,753.10,336.46,1089.56,
251500,Oliola,1.05,39.86,35.90,75.76,
251517,Olius,0.82,84.85,208.80,293.65,
081483,Olivella,2.00,1582.00,1189.93,2771.93,
081496,Olost,1.27,160.52,393.16,553.68,
171143,Olot,1.33,8434.72,8616.60,17051.32,
251522,"Oluges, les",1.64,61.57,38.57,100.14,
081445,Olvan,1.11,120.44,224.75,345.18,
251538,"Omellons, els",1.01,34.70,43.06,77.76,
251543,"Omells de na Gaia, els",1.34,37.30,26.72,64.02,
171156,Ordis,1.38,81.90,105.11,187.01,
251556,Organyà,1.90,376.40,167.83,544.23,
081509,Orís,1.59,79.65,103.14,182.79,
081516,Oristà,1.12,83.15,137.67,220.82,
081521,Orpí,1.21,15.78,49.02,64.80,
081537,Òrrius,2.13,283.64,290.92,574.56,
251569,Os de Balaguer,1.15,243.89,173.26,417.15,
171169,Osor,1.20,80.92,106.37,187.29,
251575,Ossó de Sió,1.50,56.30,55.72,112.02,
081542,Pacs del Penedès,1.26,244.00,180.19,424.19,
081555,Palafolls,1.63,2674.24,2905.81,5580.05,
171175,Palafrugell,1.85,8150.98,7399.44,15550.42,
171181,Palamós,2.06,6790.66,6666.65,13457.31,
251581,"Palau d'Anglesola, el",0.97,361.32,403.96,765.28,
171194,Palau de Santa Eulàlia,1.64,21.83,32.70,54.53,
171215,Palau-sator,3.64,148.93,263.14,412.07,
171208,Palau-saverdera,2.08,535.19,584.71,1119.90,
081568,Palau-solità i Plegamans,1.43,1902.26,5801.49,7703.75,
431009,"Pallaresos, els",1.26,1261.16,939.69,2200.85,
081574,Pallejà,1.63,2889.06,3948.79,6837.85,
430995,"Palma d'Ebre, la",1.11,69.32,68.10,137.42,
089058,"Palma de Cervelló, la",1.09,697.78,476.74,1174.52,
171236,Palol de Revardit,1.70,190.08,92.58,282.66,
171241,Pals,5.13,2118.44,2399.12,4517.56,
081580,"Papiol, el",1.44,960.46,1212.48,2172.94,
171254,Pardines,1.54,55.41,35.86,91.27,
081593,Parets del Vallès,1.15,5321.04,2690.79,8011.83,
171267,Parlavà,1.57,131.86,93.71,225.57,
431016,Passanant i Belltall,1.72,40.65,61.56,102.21,
171289,Pau,1.80,153.55,213.41,366.96,
431021,Paüls,1.03,72.82,136.03,208.85,
171292,Pedret i Marzà,1.92,88.14,50.84,138.98,
251641,Penelles,0.99,84.76,79.01,163.77,
171306,"Pera, la",1.56,105.42,148.62,254.04,
081607,Perafita,1.63,139.59,94.78,234.37,
431037,Perafort,1.35,433.20,188.71,621.91,
171328,Peralada,2.46,1315.44,345.38,1660.82,
251654,Peramola,0.71,60.20,29.45,89.65,
431042,"Perelló, el",1.78,946.71,854.20,1800.91,
081614,Piera,2.01,5727.80,5739.45,11467.25,
431055,"Piles, les",1.18,38.23,53.19,91.42,
081635,Pineda de Mar,1.88,11883.93,6827.09,18711.02,
431068,"Pinell de Brai, el",0.89,131.86,197.65,329.51,
251667,Pinell de Solsonès,1.13,60.13,22.29,82.42,
251673,Pinós,1.19,88.27,35.89,124.16,
431074,Pira,1.21,109.40,108.86,218.26,
431080,"Pla de Santa Maria, el",1.16,464.95,521.97,986.92,
081640,"Pla del Penedès, el",1.19,327.00,217.10,544.10,
171334,"Planes d'Hostoles, les",1.26,427.99,346.81,774.80,
171349,Planoles,2.55,173.30,94.71,268.01,
259118,"Plans de Sió, els",1.64,186.55,115.99,302.54,
251689,"Poal, el",1.09,130.89,125.88,256.77,
251692,"Pobla de Cérvoles, la",1.23,44.60,41.19,85.79,
081653,"Pobla de Claramunt, la",0.93,65.94,680.19,746.13,
081666,"Pobla de Lillet, la",1.19,158.42,315.98,474.40,
431093,"Pobla de Mafumet, la",0.89,1080.24,194.93,1275.17,
431107,"Pobla de Massaluca, la",0.98,41.64,71.57,113.21,
431114,"Pobla de Montornès, la",1.15,997.71,191.30,1189.01,
251713,"Pobla de Segur, la",1.35,878.95,589.50,1468.45,
431129,Poboleda,0.97,29.88,80.68,110.56,
081672,Polinyà,1.21,1935.20,1794.88,3730.08,
431135,"Pont d'Armentera, el",1.11,75.45,128.97,204.42,
250306,"Pont de Bar, el",1.35,32.08,45.42,77.50,
171352,Pont de Molins,1.85,233.05,123.30,356.35,
251734,"Pont de Suert, el",1.47,671.79,515.82,1187.61,
081825,"Pont de Vilomara i Rocafort, el",1.14,1204.30,385.21,1589.51,
431418,Pontils,2.10,41.89,47.68,89.57,
081688,Pontons,1.18,162.00,67.19,229.19,
171365,Pontós,1.39,82.27,53.14,135.41,
251728,Ponts,1.33,687.85,575.41,1263.26,
171371,Porqueres,0.96,305.21,1312.45,1617.65,
431140,Porrera,1.10,66.87,109.30,176.17,
171404,"Port de la Selva, el",4.14,910.09,556.94,1467.03,
171387,Portbou,2.02,541.11,250.55,791.66,
251749,"Portella, la",0.64,35.05,135.98,171.03,
431153,Pradell de la Teixeta,1.36,28.25,47.01,75.26,
431166,Prades,2.12,275.98,179.25,455.24,
431172,Prat de Comte,1.23,31.12,50.90,82.02,
081691,"Prat de Llobregat, el",1.29,17721.45,12810.80,30532.25,
431188,Pratdip,2.20,185.27,408.31,593.58,
081712,Prats de Lluçanès,1.18,153.32,953.84,1107.16,
081705,"Prats de Rei, els",0.90,64.37,109.97,174.34,
251752,Prats i Sansor,2.99,194.42,44.52,238.94,
251765,Preixana,1.22,88.60,82.62,171.22,
251771,Preixens,0.97,100.66,51.92,152.58,
082303,Premià de Dalt,1.57,2899.64,3105.37,6005.01,
081727,Premià de Mar,1.23,7474.54,5144.76,12619.30,
171390,"Preses, les",1.41,471.04,450.05,921.09,
251790,Prullans,1.35,88.69,25.36,114.05,
171411,Puigcerdà,1.79,4413.11,1645.61,6058.72,
081748,Puigdàlber,1.19,152.00,76.47,228.47,
251804,Puiggròs,0.89,54.09,35.99,90.08,
431191,Puigpelat,0.96,233.89,167.72,401.61,
081751,Puig-reig,1.03,452.78,1115.15,1567.93,
251811,Puigverd d'Agramunt,0.71,36.75,29.30,66.05,
251826,Puigverd de Lleida,0.72,77.32,277.53,354.85,
081764,Pujalt,1.03,26.60,52.15,78.75,
081770,"Quar, la",1.26,8.63,15.71,24.34,
171426,Quart,1.20,941.31,694.30,1635.62,
170433,Queralbs,3.93,222.96,51.16,274.12,
431205,Querol,2.35,317.39,118.29,435.68,
171432,Rabós,1.69,58.36,51.54,109.90,
081786,Rajadell,1.30,132.62,126.90,259.52,
431362,"Ràpita, la",1.48,3495.36,4506.83,8002.19,
431212,Rasquera,0.78,77.45,145.37,222.82,
171447,Regencós,2.33,145.43,83.77,229.20,
081799,Rellinars,2.52,318.82,397.57,716.39,
431227,Renau,2.35,99.22,35.46,134.68,
431233,Reus,1.26,32361.58,15682.65,48044.23,
251832,Rialp,2.04,205.62,287.03,492.65,
431248,"Riba, la",0.59,20.05,106.42,126.47,
431251,Riba-roja d'Ebre,1.05,156.00,274.17,430.17,
259059,Ribera d'Ondara,1.64,157.06,97.18,254.24,
251850,Ribera d'Urgellet,1.36,191.04,272.44,463.48,
171450,Ribes de Freser,1.59,596.17,420.12,1016.29,
171463,Riells i Viabrea,2.01,1509.44,1517.33,3026.77,
431264,"Riera de Gaià, la",1.60,690.94,325.26,1016.20,
251863,Riner,1.44,77.31,60.46,137.77,
171479,Ripoll,1.43,2750.60,2835.78,5586.38,
081803,Ripollet,1.03,8924.50,5624.50,14549.00,
259139,Riu de Cerdanya,2.56,69.74,17.31,87.05,
171485,Riudarenes,1.61,881.71,400.75,1282.46,
171498,Riudaura,0.84,89.40,56.37,145.77,
431270,Riudecanyes,1.12,103.42,355.29,458.71,
431286,Riudecols,0.86,91.66,280.08,371.74,
171501,Riudellots de la Selva,1.09,168.46,658.75,827.21,
431299,Riudoms,1.29,1361.81,1746.14,3107.95,
171518,Riumors,1.14,69.31,38.34,107.65,
081810,"Roca del Vallès, la",1.36,3232.00,2042.10,5274.10,
431303,Rocafort de Queralt,1.08,19.80,69.24,89.05,
431310,Roda de Berà,3.96,5361.04,4121.34,9482.38,
081831,Roda de Ter,0.81,369.28,1498.84,1868.12,
431325,Rodonyà,1.78,173.03,144.74,317.77,
431331,Roquetes,1.23,1963.47,1601.52,3564.99,
171523,Roses,3.09,11237.40,10823.98,22061.38,
251898,Rosselló,1.03,681.03,501.12,1182.15,
431346,"Rourell, el",1.12,104.37,45.88,150.25,
081846,Rubí,1.22,20874.06,13627.16,34501.22,
081859,Rubió,1.02,29.55,59.83,89.38,
171539,Rupià,1.51,72.56,77.03,149.59,
089019,Rupit i Pruit,1.97,64.22,136.21,200.43,
081878,Sabadell,1.24,61414.52,35495.00,96909.52,
081884,Sagàs,1.21,23.17,42.31,65.47,
251902,Salàs de Pallars,1.32,94.26,59.39,153.65,
081901,Saldes,1.08,38.13,69.88,108.01,
171544,Sales de Llierca,1.27,36.74,34.37,71.11,
081918,Sallent,1.46,2042.42,1506.95,3549.37,
431359,Salomó,1.57,248.15,70.95,319.10,
439057,Salou,2.82,16924.29,11364.32,28288.61,
171557,Salt,1.01,6725.11,4861.72,11586.83,
251919,Sanaüja,1.01,58.95,80.85,139.80,
081944,Sant Adrià de Besòs,1.19,11740.90,4404.77,16145.67,
081957,Sant Agustí de Lluçanès,2.72,39.96,44.29,84.25,
081960,Sant Andreu de la Barca,1.18,7851.15,3978.85,11830.00,
081976,Sant Andreu de Llavaneres,1.67,2595.12,4086.82,6681.94,
171576,Sant Andreu Salou,1.08,39.00,22.29,61.29,
171833,Sant Aniol de Finestres,1.37,122.02,48.67,170.69,
081982,Sant Antoni de Vilamajor,1.38,756.69,2322.73,3079.42,
081995,Sant Bartomeu del Grau,1.08,187.49,152.28,339.77,
082009,Sant Boi de Llobregat,1.20,23884.10,12865.04,36749.14,
082016,Sant Boi de Lluçanès,1.64,179.54,143.32,322.86,
082037,Sant Cebrià de Vallalta,2.18,1074.60,1623.76,2698.36,
082021,Sant Celoni,1.20,5107.46,2746.13,7853.59,
082042,Sant Climent de Llobregat,1.17,1154.81,611.45,1766.26,
171582,Sant Climent Sescebes,1.28,172.20,120.86,293.06,
082055,Sant Cugat del Vallès,1.17,19930.22,18822.33,38752.55,
082068,Sant Cugat Sesgarrigues,1.31,270.00,210.77,480.77,
251961,Sant Esteve de la Sarga,1.40,36.52,26.72,63.24,
082074,Sant Esteve de Palautordera,0.78,106.28,692.17,798.45,
082080,Sant Esteve Sesrovires,1.45,2044.96,1976.89,4021.85,
171595,Sant Feliu de Buixalleu,2.15,392.09,223.62,615.71,
082107,Sant Feliu de Codines,1.19,1132.54,1586.58,2719.12,
171609,Sant Feliu de Guíxols,1.81,7741.06,6774.76,14515.82,
082114,Sant Feliu de Llobregat,1.07,10530.18,6961.40,17491.58,
171616,Sant Feliu de Pallerols,1.23,321.96,295.68,617.64,
082129,Sant Feliu Sasserra,1.28,173.96,106.34,280.30,
171621,Sant Ferriol,1.65,92.75,53.28,146.03,
082093,Sant Fost de Campsentelles,1.58,3437.40,1616.39,5053.79,
082135,Sant Fruitós de Bages,1.52,2126.66,2690.17,4816.83,
171637,Sant Gregori,1.37,1043.87,865.38,1909.25,
251924,Sant Guim de Freixenet,1.18,218.45,221.41,439.86,
251977,Sant Guim de la Plana,1.64,68.21,42.46,110.67,
171642,Sant Hilari Sacalm,1.42,499.00,2418.21,2917.21,
082153,Sant Hipòlit de Voltregà,1.08,594.38,782.27,1376.65,
081939,Sant Iscle de Vallalta,1.62,465.41,323.92,789.33,
439023,Sant Jaume d'Enveja,1.55,814.06,1169.28,1983.34,
082166,Sant Jaume de Frontanyà,1.52,4.32,12.38,16.70,
171655,Sant Jaume de Llierca,1.09,182.45,161.58,344.03,
431378,Sant Jaume dels Domenys,1.73,820.79,837.10,1657.89,
171674,Sant Joan de les Abadesses,1.17,360.73,1018.48,1379.21,
171680,Sant Joan de Mollet,0.65,90.44,30.11,120.55,
082188,Sant Joan de Vilatorrada,1.25,2463.76,2533.83,4997.59,
082172,Sant Joan Despí,1.11,8418.28,5426.05,13844.33,
171851,Sant Joan les Fonts,1.70,903.92,964.04,1867.96,
171668,Sant Jordi Desvalls,1.39,179.05,207.06,386.11,
089030,Sant Julià de Cerdanyola,1.30,35.11,73.35,108.46,
171693,Sant Julià de Ramis,1.35,903.86,829.69,1733.55,
082205,Sant Julià de Vilatorta,0.97,138.69,968.70,1107.39,
179032,Sant Julià del Llor i Bonmatí,1.23,243.10,332.44,575.54,
082212,Sant Just Desvern,1.37,3724.83,5150.44,8875.27,
082227,Sant Llorenç d'Hortons,1.39,744.47,479.43,1223.90,
171714,Sant Llorenç de la Muga,1.92,96.87,88.26,185.13,
251930,Sant Llorenç de Morunys,1.86,209.72,435.70,645.42,
082233,Sant Llorenç Savall,1.52,653.98,659.46,1313.44,
082251,Sant Martí d'Albars,1.63,29.03,37.55,66.58,
082248,Sant Martí de Centelles,1.04,111.89,331.67,443.56,
171729,Sant Martí de Llémena,1.54,141.36,215.00,356.36,
259025,Sant Martí de Riucorb,1.33,162.61,150.04,312.65,
082264,Sant Martí de Tous,0.69,52.23,257.12,309.35,
082270,Sant Martí Sarroca,1.37,1063.00,564.38,1627.38,
082286,Sant Martí Sesgueioles,0.97,43.53,77.85,121.38,
171735,Sant Martí Vell,0.91,48.26,35.78,84.04,
082299,Sant Mateu de Bages,1.06,161.76,71.76,233.52,
171740,Sant Miquel de Campmajor,1.49,70.68,54.58,125.26,
171753,Sant Miquel de Fluvià,1.46,248.88,158.04,406.92,
171766,Sant Mori,1.29,47.48,36.12,83.60,
171772,Sant Pau de Segúries,1.59,233.26,172.28,405.54,
082310,Sant Pere de Ribes,1.64,8728.00,9684.20,18412.20,
082325,Sant Pere de Riudebitlles,1.48,597.00,682.54,1279.54,
082331,Sant Pere de Torelló,1.16,378.20,647.91,1026.11,
082346,Sant Pere de Vilamajor,1.52,1280.98,1200.84,2481.82,
171788,Sant Pere Pescador,4.31,2336.91,876.53,3213.44,
081897,Sant Pere Sallavinera,1.03,18.60,38.46,57.06,
082359,Sant Pol de Mar,1.82,1391.12,2123.14,3514.26,
082362,Sant Quintí de Mediona,1.10,272.00,631.18,903.18,
082378,Sant Quirze de Besora,1.24,470.12,514.14,984.26,
082384,Sant Quirze del Vallès,1.19,5453.90,3278.23,8732.13,
082397,Sant Quirze Safaja,1.68,27.39,357.77,385.16,
251945,Sant Ramon,0.88,52.96,104.02,156.98,
082401,Sant Sadurní d'Anoia,1.19,1452.00,4157.22,5609.22,
082418,Sant Sadurní d'Osormort,3.51,73.08,26.78,99.86,
080983,Sant Salvador de Guardiola,1.49,989.96,743.56,1733.52,
082628,Sant Vicenç de Castellet,1.30,2379.67,2146.82,4526.49,
082649,Sant Vicenç de Montalt,1.74,1621.16,2448.05,4069.21,
082652,Sant Vicenç de Torelló,0.99,119.28,621.22,740.50,
082634,Sant Vicenç dels Horts,1.40,8627.91,5781.74,14409.65,
431384,Santa Bàrbara,1.28,781.56,954.89,1736.45,
082439,Santa Cecília de Voltregà,1.60,41.21,68.29,109.50,
082444,Santa Coloma de Cervelló,1.37,2458.28,1660.79,4119.07,
171805,Santa Coloma de Farners,1.46,3276.58,3708.41,6984.99,
082457,Santa Coloma de Gramenet,1.07,35785.87,10716.79,46502.66,
431397,Santa Coloma de Queralt,1.55,697.35,812.38,1509.74,
171812,Santa Cristina d'Aro,2.49,2461.34,2280.85,4742.19,
082460,Santa Eugènia de Berga,0.89,170.17,559.45,729.62,
082476,Santa Eulàlia de Riuprimer,0.79,90.92,297.79,388.71,
082482,Santa Eulàlia de Ronçana,1.25,298.28,3025.32,3323.60,
082495,Santa Fe del Penedès,1.61,131.00,88.15,219.15,
171827,Santa Llogaia d'Àlguema,1.28,120.71,51.88,172.59,
082508,Santa Margarida de Montbui,1.13,3060.05,1050.64,4110.69,
082515,Santa Margarida i els Monjos,1.62,2222.00,2277.28,4499.28,
082589,Santa Maria d'Oló,0.90,89.48,248.92,338.40,
082536,Santa Maria de Besora,1.24,27.38,40.63,68.01,
082567,Santa Maria de Martorelles,0.92,46.06,252.53,298.59,
082554,Santa Maria de Merlès,0.92,26.33,35.43,61.77,
082573,Santa Maria de Miralles,1.08,12.04,37.66,49.70,
082592,Santa Maria de Palautordera,1.56,2823.00,2551.40,5374.40,
431401,Santa Oliva,1.47,1191.82,588.00,1779.82,
171848,Santa Pau,1.22,341.05,355.40,696.45,
082606,Santa Perpètua de Mogoda,1.11,6447.68,4008.87,10456.55,
082613,Santa Susanna,5.62,4931.14,2143.25,7074.38,
081923,Santpedor,1.28,747.44,2777.02,3524.46,
431423,Sarral,1.29,325.77,401.24,727.01,
171864,Sarrià de Ter,1.14,1180.88,963.11,2143.99,
252017,Sarroca de Bellera,1.31,35.64,22.33,57.97,
252000,Sarroca de Lleida,0.77,21.16,80.77,101.93,
171870,"Saus, Camallera i Llampaies",1.56,295.68,180.08,475.76,
431439,Savallà del Comtat,1.56,14.22,18.91,33.13,
431444,"Secuita, la",1.49,565.88,353.69,919.57,
171886,"Selva de Mar, la",3.07,167.45,52.47,219.92,
431457,"Selva del Camp, la",1.32,885.77,1845.27,2731.04,
431460,Senan,1.23,7.62,13.90,21.52,
430445,"Sénia, la",1.10,745.94,1530.10,2276.04,
252022,Senterada,1.27,40.35,22.96,63.31,
250352,"Sentiu de Sió, la",1.20,92.80,84.98,177.78,
082671,Sentmenat,1.28,2413.70,1833.73,4247.43,
171903,Serinyà,1.20,303.45,194.31,497.76,
252043,Seròs,0.72,101.85,406.50,508.35,
171910,Serra de Daró,2.21,129.19,48.73,177.92,
171925,Setcases,3.06,147.26,50.30,197.56,
252038,"Seu d'Urgell, la",1.45,2793.53,3589.87,6383.40,
082690,Seva,1.29,350.27,1303.54,1653.81,
252056,Sidamon,1.34,211.73,148.03,359.76,
171931,Sils,1.29,1881.15,979.27,2860.42,
082704,Sitges,2.05,14443.00,7488.10,21931.10,
170524,Siurana,2.06,49.53,76.89,126.42,
082711,Sobremunt,2.05,35.72,23.46,59.18,
252069,"Soleràs, el",0.82,58.07,41.09,99.16,
431476,Solivella,1.21,140.18,140.24,280.42,
252075,Solsona,1.37,2478.28,2065.24,4543.52,
082726,Sora,1.72,61.18,69.78,130.96,
252081,Soriguera,2.27,183.91,155.44,339.35,
252094,Sort,2.00,603.86,967.71,1571.57,
252108,Soses,0.74,95.11,380.13,475.24,
082732,Subirats,1.92,1159.00,976.06,2135.06,
252115,Sudanell,0.75,45.17,188.00,233.17,
252120,Sunyer,0.80,20.81,81.56,102.37,
082747,Súria,1.36,1508.52,1450.08,2958.60,
171946,Susqueda,1.56,17.87,39.80,57.67,
082763,Tagamanent,1.18,44.74,94.92,139.66,
082779,Talamanca,2.47,108.56,77.52,186.08,
252154,Talarn,1.40,172.31,127.44,299.75,
252167,Talavera,1.63,104.34,63.92,168.26,
171959,"Tallada d'Empordà, la",1.90,131.05,190.01,321.06,
082785,Taradell,1.27,483.83,2525.33,3009.16,
431482,Tarragona,1.34,44478.36,21382.79,65861.15,
252173,Tàrrega,1.24,4640.38,3086.00,7726.38,
252189,Tarrés,1.04,19.08,21.01,40.09,
252192,Tarroja de Segarra,1.63,68.94,42.12,111.06,
082750,Tavèrnoles,1.82,17.36,192.92,210.28,
082802,Tavertet,1.55,27.31,35.58,62.89,
082819,Teià,1.61,1423.61,2345.56,3769.17,
252206,Térmens,0.95,224.81,239.02,463.83,
171962,Terrades,1.16,23.88,115.46,139.34,
082798,Terrassa,1.06,49537.24,35753.00,85290.24,
082824,Tiana,1.28,646.10,3482.64,4128.74,
252213,Tírvia,2.13,62.58,39.39,101.97,
252228,Tiurana,1.02,14.06,13.17,27.23,
431495,Tivenys,1.22,188.54,211.17,399.71,
431508,Tivissa,1.15,403.51,266.28,669.79,
082830,Tona,1.29,952.47,2935.52,3887.99,
252234,Torà,1.05,216.13,264.39,480.52,
082845,Tordera,1.68,5854.54,4694.65,10549.19,
082858,Torelló,1.24,2415.45,4080.20,6495.65,
252249,"Torms, els",0.87,17.76,27.79,45.55,
252252,Tornabous,1.15,238.20,121.42,359.62,
252271,"Torre de Cabdella, la",1.23,223.86,116.23,340.09,
082861,"Torre de Claramunt, la",0.94,134.81,1134.83,1269.64,
431515,"Torre de Fontaubella, la",0.98,20.87,28.42,49.29,
431520,"Torre de l'Espanyol, la",1.00,94.77,127.25,222.02,
252265,Torrebesses,0.82,16.94,66.98,83.92,
431536,Torredembarra,1.80,6670.18,3979.53,10649.71,
252287,Torrefarrera,1.32,1328.45,882.53,2210.98,
259078,Torrefeta i Florejacs,1.63,221.94,136.98,358.92,
252304,Torregrossa,1.03,426.73,398.99,825.72,
252311,Torrelameu,0.93,131.87,120.64,252.51,
082877,Torrelavit,1.29,290.00,376.03,666.03,
082883,Torrelles de Foix,1.59,918.00,447.30,1365.30,
082896,Torrelles de Llobregat,1.14,778.37,1738.24,2516.61,
171978,Torrent,2.86,127.15,55.61,182.76,
252326,Torres de Segre,1.11,548.70,370.98,919.68,
252332,Torre-serona,1.18,96.84,73.88,170.72,
171984,Torroella de Fluvià,1.71,339.56,92.65,432.21,
171997,Torroella de Montgrí,2.24,5807.40,3734.72,9542.12,
431541,Torroja del Priorat,1.63,69.36,19.25,88.61,
172001,Tortellà,1.14,160.35,175.15,335.50,
431554,Tortosa,1.41,10758.67,6445.39,17204.06,
172018,Toses,1.59,78.49,20.56,99.05,
172023,Tossa de Mar,3.44,3179.54,3950.18,7129.72,
252347,Tremp,1.57,1878.64,1464.08,3342.72,
172044,Ullà,1.56,318.14,337.05,655.19,
082900,Ullastrell,1.12,474.10,382.34,856.44,
172057,Ullastret,1.77,120.89,65.99,186.88,
431567,Ulldecona,1.13,1311.65,1291.12,2602.77,
431573,Ulldemolins,1.24,113.88,65.59,179.47,
172039,Ultramort,2.36,110.76,81.37,192.13,
172060,Urús,2.13,114.88,31.82,146.70,
082917,Vacarisses,1.42,550.46,2906.33,3456.79,
170144,"Vajol, la",2.21,47.26,24.49,71.75,
172076,"Vall d'en Bas, la",1.27,835.92,592.87,1428.79,
172082,"Vall de Bianya, la",1.68,284.23,493.01,777.24,
250432,"Vall de Boí, la",1.82,308.96,370.26,679.22,
259010,Vall de Cardós,1.98,105.07,157.90,262.97,
082922,Vallbona d'Anoia,1.22,504.67,106.66,611.33,
252385,Vallbona de les Monges,1.84,83.77,72.88,156.65,
082938,Vallcebre,0.90,35.40,46.85,82.25,
431589,Vallclara,1.59,33.18,23.74,56.92,
252402,Vallfogona de Balaguer,1.00,344.31,343.82,688.13,
171707,Vallfogona de Ripollès,0.82,19.77,41.71,61.48,
431592,Vallfogona de Riucorb,3.85,63.67,64.18,127.85,
082943,Vallgorguina,1.55,1012.20,623.33,1635.53,
082956,Vallirana,1.62,4602.35,4270.36,8872.71,
172095,Vall-llobrega,1.80,366.31,223.91,590.22,
431606,Vallmoll,1.12,474.21,242.61,716.82,
082969,Vallromanes,1.72,1128.86,488.30,1617.16,
431613,Valls,1.43,7416.16,5305.60,12721.76,
259062,"Valls d'Aguilar, les",0.46,30.10,13.97,44.07,
252398,"Valls de Valira, les",1.35,161.62,228.76,390.38,
431628,Vandellòs i l'Hospitalet de l'Infant,1.75,1903.17,2229.45,4132.62,
259097,"Vansa i Fórnols, la",1.35,32.90,46.60,79.50,
082975,Veciana,0.86,16.96,40.12,57.08,
431634,"Vendrell, el",1.89,16107.15,9865.49,25972.63,
172109,Ventalló,2.09,309.70,346.52,656.22,
252424,Verdú,1.16,115.11,275.31,390.42,
172116,Verges,1.50,50.49,591.87,642.36,
431649,Vespella de Gaià,3.23,229.28,254.45,483.73,
082981,Vic,1.26,8674.77,12549.40,21224.17,
172121,Vidrà,1.82,37.64,73.24,110.88,
172137,Vidreres,2.00,2743.10,2954.38,5697.48,
252430,Vielha e Mijaran,2.34,2909.29,1847.59,4756.88,
431652,Vilabella,0.89,124.54,115.66,240.20,
172142,Vilabertran,1.04,217.90,155.44,373.34,
172155,Vilablareix,0.80,67.18,777.25,844.43,
082994,Vilada,1.42,61.87,153.69,215.56,
172174,Viladamat,1.69,141.45,146.53,287.98,
172168,Viladasens,1.45,55.05,50.50,105.55,
083015,Viladecans,1.20,18957.40,10199.01,29156.41,
083008,Viladecavalls,1.29,2014.10,1530.04,3544.14,
172180,Vilademuls,1.46,286.34,146.54,432.88,
172207,Viladrau,1.80,214.70,468.62,683.32,
172214,Vilafant,1.65,1653.54,1590.56,3244.10,
083054,Vilafranca del Penedès,1.48,12981.00,8464.07,21445.07,
252445,Vilagrassa,1.37,145.10,125.50,270.60,
172235,Vilajuïga,1.63,169.00,489.61,658.61,
431750,Vilalba dels Arcs,1.03,84.74,150.75,235.49,
083067,Vilalba Sasserra,1.76,277.06,182.11,459.17,
252458,Vilaller,1.63,169.77,163.15,332.92,
172240,Vilallonga de Ter,2.11,207.43,99.55,306.98,
431665,Vilallonga del Camp,1.23,673.38,394.98,1068.36,
172253,Vilamacolum,1.42,91.69,89.04,180.73,
172266,Vilamalla,2.84,863.92,359.49,1223.41,
172272,Vilamaniscle,1.30,50.21,44.40,94.61,
252477,Vilamòs,2.34,97.87,62.12,159.99,
172288,Vilanant,1.43,132.99,72.26,205.25,
431671,Vilanova d'Escornalbou,1.12,86.08,136.51,222.59,
252483,Vilanova de Bellpuig,1.07,255.36,206.55,461.91,
252496,Vilanova de l'Aguda,1.33,56.46,38.87,95.33,
252542,Vilanova de la Barca,1.10,215.91,199.20,415.11,
252509,Vilanova de Meià,1.48,137.43,73.21,210.64,
431687,Vilanova de Prades,2.21,55.18,35.13,90.31,
083036,Vilanova de Sau,2.30,138.35,112.78,251.13,
252516,Vilanova de Segrià,1.05,202.66,173.24,375.90,
083020,Vilanova del Camí,1.14,3231.22,1970.63,5201.85,
