Residus municipals. Generació. Total registrat i generació per càpita
Municipis. 2019
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&by=mun&t=201900
Codi,Literal,Total kg/hab./dia,Recollida no selectiva,Recollida selectiva,Total
250518,Bellver de Cerdanya,1.83,999.32,294.60,1293.92,
250523,Bellvís,1.08,467.91,422.79,890.70,
250539,Benavent de Segrià,0.93,261.67,244.88,506.55,
430252,Benifallet,1.37,179.77,190.17,369.94,
430265,Benissanet,1.26,268.30,263.89,532.19,
080229,Berga,1.29,2330.87,5451.34,7782.21,
170195,Besalú,1.60,182.48,1269.76,1452.24,
170209,Bescanó,1.38,1204.24,1295.95,2500.19,
170216,Beuda,1.52,69.66,35.67,105.33,
080235,Bigues i Riells del Fai,1.81,3707.58,2304.40,6011.98,
250557,Biosca,1.64,64.89,40.40,105.29,
170221,"Bisbal d'Empordà, la",1.43,3109.24,2604.32,5713.56,
430271,"Bisbal de Falset, la",0.83,44.10,21.31,65.41,
430287,"Bisbal del Penedès, la",1.69,1329.64,852.53,2182.17,
172348,Biure,1.31,19.85,91.03,110.88,
430290,Blancafort,1.43,104.77,98.72,203.49,
170237,Blanes,1.60,11134.20,11602.37,22736.57,
170293,Boadella i les Escaules,1.49,29.00,107.78,136.78,
170242,Bolvir,3.41,335.84,123.91,459.75,
430304,Bonastre,1.42,227.19,130.35,357.54,
250576,"Bòrdes, Es",2.34,135.55,86.07,221.62,
170255,Bordils,1.09,507.17,201.95,709.12,
250582,"Borges Blanques, les",1.17,1489.63,1119.54,2609.17,
430311,"Borges del Camp, les",1.58,764.19,408.63,1172.81,
170268,Borrassà,1.24,197.67,126.61,324.28,
080240,Borredà,1.00,65.61,96.72,162.33,
250595,Bossòst,2.34,580.39,368.49,948.88,
430326,Bot,1.26,95.82,168.31,264.13,
430332,Botarell,1.38,273.02,264.38,537.40,
250560,Bovera,0.84,41.70,34.29,75.99,
430347,Bràfim,0.91,98.34,130.31,228.65,
170274,Breda,1.08,115.44,1362.16,1477.60,
080253,"Bruc, el",1.24,159.53,770.16,929.69,
080266,"Brull, el",1.39,48.26,85.15,133.41,
170280,Brunyola i Sant Martí Sapresa,1.59,101.90,120.53,222.43,
430350,Cabacés,0.88,42.54,53.21,95.75,
250609,Cabanabona,1.25,19.66,14.50,34.16,
170314,Cabanelles,2.01,125.95,78.96,204.91,
170307,Cabanes,1.05,261.63,100.97,362.60,
080272,"Cabanyes, les",1.22,232.00,197.87,429.87,
250616,Cabó,1.18,30.10,9.56,39.66,
430363,Cabra del Camp,1.38,425.16,162.45,587.61,
080288,Cabrera d'Anoia,1.91,850.00,133.65,983.65,
080291,Cabrera de Mar,2.12,1552.44,2067.03,3619.47,
080305,Cabrils,2.13,2426.00,3360.16,5786.16,
170329,Cadaqués,3.41,2278.00,1096.36,3374.36,
080312,Calaf,1.44,954.94,907.01,1861.95,
430379,Calafell,2.08,13341.77,6808.96,20150.73,
080348,Calders,1.21,133.26,295.14,428.40,
080327,Caldes d'Estrac,1.70,946.40,902.27,1848.67,
170335,Caldes de Malavella,1.51,2365.59,1848.03,4213.62,
080333,Caldes de Montbui,1.45,4344.98,4953.16,9298.14,
080351,Calella,1.95,7253.28,6349.86,13603.14,
080370,Calldetenes,0.80,146.94,576.24,723.18,
080386,Callús,0.97,402.24,354.76,757.00,
080364,Calonge de Segarra,1.10,25.38,50.40,75.78,
170340,Calonge i Sant Antoni,2.99,7175.42,4923.21,12098.63,
250621,Camarasa,1.43,255.29,172.51,427.80,
439039,Camarles,1.26,831.61,653.43,1485.04,
430385,Cambrils,2.09,13057.34,12820.59,25877.93,
170353,Camós,1.15,149.45,142.44,291.88,
170366,Campdevànol,1.53,856.33,939.96,1796.29,
170372,Campelles,1.69,61.67,23.84,85.51,
080399,Campins,1.46,158.65,123.30,281.95,
170388,Campllong,1.61,151.79,169.64,321.43,
170391,Camprodon,1.96,939.65,688.42,1628.07,
250637,Canejan,2.34,56.00,35.55,91.55,
170405,Canet d'Adri,1.13,161.30,137.08,298.39,
080403,Canet de Mar,1.35,2465.84,4706.47,7172.31,
439076,"Canonja, la",1.32,1884.44,947.65,2832.09,
080410,Canovelles,1.21,5463.78,1905.31,7369.09,
080425,Cànoves i Samalús,1.50,931.56,773.39,1704.95,
170412,Cantallops,1.89,126.12,90.35,216.47,
080431,Canyelles,1.59,1583.00,1108.58,2691.58,
430398,Capafonts,1.09,29.09,18.94,48.02,
430402,Capçanes,0.95,43.57,94.98,138.55,
080446,Capellades,1.09,359.69,1748.14,2107.83,
170427,Capmany,1.63,197.83,166.02,363.85,
080459,Capolat,1.28,13.81,29.95,43.77,
080462,Cardedeu,1.26,4638.67,3807.88,8446.55,
080478,Cardona,1.27,1341.37,807.98,2149.35,
080484,Carme,0.64,29.67,147.90,177.57,
430419,Caseres,1.02,38.93,57.68,96.61,
170448,Cassà de la Selva,1.20,2320.06,2210.09,4530.15,
080497,Casserres,1.10,226.20,420.49,646.69,
080575,Castell de l'Areny,1.18,10.36,19.04,29.40,
259046,Castell de Mur,1.42,53.90,41.26,95.16,
250642,Castellar de la Ribera,1.08,40.58,12.03,52.61,
