Indicadors socioeconòmics. Valors
Municipis. 2019 (p)
Unitats: %.
Font: Idescat. Índex socioeconòmic territorial
Nota: La renda mitjana per persona s'expressa en euros, i fa referència als ingressos percebuts durant l'any anterior.
(p) Dada provisional.
(b) Ruptura en la sèrie temporal.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=ist&n=14074&by=mun
Codi;Literal;Població ocupada;Treballadors de baixa qualificació;Població amb estudis baixos;Població jove sense estudis postobligatoris;Estrangers de països de renda baixa o mitjana;Renda mitjana per persona
080765;Esparreguera;67,3 (b);12,5 (b);16,3 (b);35,0 (b);7,0;13149;
080771;Esplugues de Llobregat;66,9 (b);10,3 (b);18,0 (b);20,5 (b);9,5;16010;
170669;Figueres;59,0 (b);18,1 (b);27,3 (b);57,4 (b);24,3;10721;
080863;Franqueses del Vallès, les;69,5 (b);15,0 (b);16,7 (b);35,6 (b);9,2;12686;
080885;Garriga, la;71,0 (b);11,5 (b);12,4 (b);21,6 (b);5,0;14682;
080898;Gavà;66,6 (b);10,6 (b);15,0 (b);27,3 (b);7,3;14038;
080919;Gelida;68,9 (b);9,8 (b);14,3 (b);26,9 (b);7,5;13817;
170792;Girona;63,6 (b);12,9 (b);13,7 (b);29,7 (b);17,7;13920;
080961;Granollers;65,0 (b);15,5 (b);16,0 (b);29,7 (b);12,3;13407;
251109;Guissona;73,9 (b);20,0 (b);31,2 (b);54,3 (b);51,3;11663;
081017;Hospitalet de Llobregat, l';63,1 (b);16,6 (b);22,5 (b);36,5 (b);20,2;11339;
081022;Igualada;65,7 (b);11,5 (b);16,1 (b);28,3 (b);11,0;13038;
081056;Llagosta, la;65,4 (b);18,5 (b);22,8 (b);42,9 (b);11,2;11254;
170890;Llagostera;66,6 (b);16,1 (b);23,2 (b);40,9 (b);14,4;11469;
251207;Lleida;60,3 (b);14,3 (b);17,0 (b);35,6 (b);17,6;12608;
081075;Lliçà d'Amunt;71,6 (b);13,0 (b);14,7 (b);28,3 (b);2,0;13564;
081081;Lliçà de Vall;71,9 (b);10,5 (b);14,8 (b);18,8 (b);2,0;14677;
081069;Llinars del Vallès;70,1 (b);12,7 (b);14,4 (b);30,4 (b);5,9;13593;
170950;Lloret de Mar;51,7 (b);13,0 (b);16,9 (b);45,6 (b);28,0;10109;
171030;Maçanet de la Selva;62,4 (b);18,9 (b);19,8 (b);49,7 (b);9,3;11220;
081108;Malgrat de Mar;62,5 (b);13,9 (b);17,8 (b);38,4 (b);9,0;11766;
081120;Manlleu;62,0 (b);22,6 (b);26,0 (b);44,3 (b);22,2;11623;
081136;Manresa;60,7 (b);14,8 (b);17,7 (b);37,5 (b);16,4;12762;
081141;Martorell;63,9 (b);16,1 (b);22,5 (b);41,0 (b);15,9;12304;
081189;Masnou, el;67,9 (b);7,2 (b);11,8 (b);17,2 (b);6,6;15867;
081192;Masquefa;69,8 (b);14,5 (b);14,0 (b);35,8 (b);4,5;12715;
081206;Matadepera;72,9 (b);3,2 (b);5,0 (b);6,9 (b);1,5;24738;
081213;Mataró;63,6 (b);13,6 (b);20,4 (b);36,3 (b);14,7;11658;
081385;Moià;69,8 (b);16,8 (b);15,6 (b);33,9 (b);10,7;12728;
081234;Molins de Rei;72,3 (b);7,8 (b);11,7 (b);17,4 (b);4,9;15057;
251370;Mollerussa;67,4 (b);22,7 (b);20,7 (b);46,6 (b);28,2;11160;
081249;Mollet del Vallès;66,6 (b);15,3 (b);19,6 (b);37,2 (b);10,1;12542;
430862;Montblanc;71,1 (b);14,3 (b);20,3 (b);32,1 (b);13,4;13234;
081252;Montcada i Reixac;66,6 (b);13,7 (b);18,1 (b);34,6 (b);11,2;12230;
081265;Montgat;71,8 (b);7,1 (b);11,3 (b);18,6 (b);5,2;14587;
081350;Montmeló;69,3 (b);13,5 (b);20,7 (b);27,3 (b);6,3;13296;
081363;Montornès del Vallès;67,6 (b);15,9 (b);20,0 (b);38,6 (b);9,5;12349;
430923;Mont-roig del Camp;56,7 (b);16,4 (b);17,0 (b);42,9 (b);17,5;10574;
430939;Móra d'Ebre;61,3 (b);14,0 (b);20,3 (b);38,3 (b);16,3;12065;
081402;Navarcles;71,3 (b);13,0 (b);18,6 (b);33,1 (b);4,5;13688;
081419;Navàs;67,8 (b);15,0 (b);19,9 (b);32,5 (b);8,0;12803;
081477;Olesa de Montserrat;67,7 (b);13,4 (b);17,1 (b);33,9 (b);7,9;12840;
171143;Olot;68,1 (b);17,2 (b);23,8 (b);40,2 (b);19,6;12999;
081555;Palafolls;69,8 (b);13,8 (b);13,1 (b);35,8 (b);3,8;11788;
171175;Palafrugell;60,8 (b);18,4 (b);24,1 (b);47,6 (b);20,7;10760;
171181;Palamós;63,2 (b);12,9 (b);18,7 (b);41,4 (b);11,6;12022;
081568;Palau-solità i Plegamans;71,0 (b);12,4 (b);12,8 (b);23,4 (b);4,3;14160;
081574;Pallejà;71,6 (b);8,5 (b);13,4 (b);23,5 (b);4,1;14884;
081593;Parets del Vallès;72,2 (b);12,3 (b);15,5 (b);29,1 (b);6,1;13782;
081614;Piera;65,6 (b);15,4 (b);17,1 (b);40,9 (b);6,0;11846;
081635;Pineda de Mar;59,8 (b);14,3 (b);21,4 (b);43,0 (b);11,5;10711;
081672;Polinyà;73,9 (b);12,9 (b);13,0 (b);38,1 (b);5,8;12817;
081691;Prat de Llobregat, el;67,8 (b);14,7 (b);18,8 (b);32,6 (b);7,2;12966;
082303;Premià de Dalt;68,1 (b);9,5 (b);12,9 (b);17,8 (b);6,3;16126;
081727;Premià de Mar;66,5 (b);11,1 (b);16,1 (b);25,1 (b);9,8;13767;
171411;Puigcerdà;63,0 (b);16,0 (b);17,1 (b);42,0 (b);17,3;11400;
431362;Ràpita, la;56,9 (b);12,8 (b);19,8 (b);31,4 (b);13,4;10537;
431233;Reus;62,4 (b);13,7 (b);19,0 (b);36,0 (b);14,6;12160;
171479;Ripoll;68,1 (b);18,5 (b);21,7 (b);41,1 (b);11,6;13325;
081803;Ripollet;67,4 (b);14,3 (b);17,4 (b);37,7 (b);10,5;11838;
431299;Riudoms;65,9 (b);15,3 (b);23,2 (b);39,4 (b);12,8;11370;
081810;Roca del Vallès, la;73,1 (b);9,9 (b);12,6 (b);23,0 (b);2,9;14810;
431310;Roda de Berà;61,1 (b);14,2 (b);20,2 (b);44,1 (b);9,5;11898;
081831;Roda de Ter;71,4 (b);16,3 (b);19,2 (b);39,4 (b);10,0;12853;
431331;Roquetes;64,6 (b);14,7 (b);20,4 (b);33,9 (b);12,3;10970;
171523;Roses;56,8 (b);18,1 (b);23,4 (b);44,7 (b);19,6;10409;
081846;Rubí;66,6 (b);14,1 (b);15,2 (b);32,9 (b);10,6;12358;
081878;Sabadell;65,5 (b);12,4 (b);18,3 (b);32,2 (b);10,9;13046;
081918;Sallent;65,6 (b);16,8 (b);16,5 (b);30,5 (b);5,9;13327;
