Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Lloguer_mitja,Preu
2023,1,8,Nou Barris,53,la Trinitat Nova,Lloguer mitjà mensual (Euros/mes),625.9
2023,1,8,Nou Barris,54,Torre Baró,Lloguer mitjà mensual (Euros/mes),491.9
2023,1,8,Nou Barris,55,Ciutat Meridiana,Lloguer mitjà mensual (Euros/mes),607.8
2023,1,8,Nou Barris,56,Vallbona,Lloguer mitjà mensual (Euros/mes),--
2023,1,9,Sant Andreu,57,la Trinitat Vella,Lloguer mitjà mensual (Euros/mes),692.6
2023,1,9,Sant Andreu,58,Baró de Viver,Lloguer mitjà mensual (Euros/mes),--
2023,1,9,Sant Andreu,59,el Bon Pastor,Lloguer mitjà mensual (Euros/mes),691.4
2023,1,9,Sant Andreu,60,Sant Andreu,Lloguer mitjà mensual (Euros/mes),868.8
2023,1,9,Sant Andreu,61,la Sagrera,Lloguer mitjà mensual (Euros/mes),961.4
2023,1,9,Sant Andreu,62,el Congrés i els Indians,Lloguer mitjà mensual (Euros/mes),864.4
2023,1,9,Sant Andreu,63,Navas,Lloguer mitjà mensual (Euros/mes),920.1
2023,1,10,Sant Martí,64,el Camp de l'Arpa del Clot,Lloguer mitjà mensual (Euros/mes),957.1
2023,1,10,Sant Martí,65,el Clot,Lloguer mitjà mensual (Euros/mes),990.5
2023,1,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Lloguer mitjà mensual (Euros/mes),1210.6
2023,1,10,Sant Martí,67,la Vila Olímpica del Poblenou,Lloguer mitjà mensual (Euros/mes),1472.4
2023,1,10,Sant Martí,68,el Poblenou,Lloguer mitjà mensual (Euros/mes),1111.3
2023,1,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Lloguer mitjà mensual (Euros/mes),1488.1
2023,1,10,Sant Martí,70,el Besòs i el Maresme,Lloguer mitjà mensual (Euros/mes),807.6
2023,1,10,Sant Martí,71,Provençals del Poblenou,Lloguer mitjà mensual (Euros/mes),1170.5
2023,1,10,Sant Martí,72,Sant Martí de Provençals,Lloguer mitjà mensual (Euros/mes),925.3
2023,1,10,Sant Martí,73,la Verneda i la Pau,Lloguer mitjà mensual (Euros/mes),1148.4
2023,1,1,Ciutat Vella,1,el Raval,Lloguer mitjà per superfície (Euros/m2 mes),15.8
2023,1,1,Ciutat Vella,2,el Barri Gòtic,Lloguer mitjà per superfície (Euros/m2 mes),16.6
2023,1,1,Ciutat Vella,3,la Barceloneta,Lloguer mitjà per superfície (Euros/m2 mes),18.0
2023,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Lloguer mitjà per superfície (Euros/m2 mes),16.6
2023,1,2,Eixample,5,el Fort Pienc,Lloguer mitjà per superfície (Euros/m2 mes),15.9
2023,1,2,Eixample,6,la Sagrada Família,Lloguer mitjà per superfície (Euros/m2 mes),16.1
2023,1,2,Eixample,7,la Dreta de l'Eixample,Lloguer mitjà per superfície (Euros/m2 mes),16.5
2023,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Lloguer mitjà per superfície (Euros/m2 mes),15.6
2023,1,2,Eixample,9,la Nova Esquerra de l'Eixample,Lloguer mitjà per superfície (Euros/m2 mes),16.0
2023,1,2,Eixample,10,Sant Antoni,Lloguer mitjà per superfície (Euros/m2 mes),15.1
2023,1,3,Sants-Montjuïc,11,el Poble Sec,Lloguer mitjà per superfície (Euros/m2 mes),15.4
2023,1,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Lloguer mitjà per superfície (Euros/m2 mes),--
2023,1,3,Sants-Montjuïc,13,la Marina de Port,Lloguer mitjà per superfície (Euros/m2 mes),12.3
2023,1,3,Sants-Montjuïc,14,la Font de la Guatlla,Lloguer mitjà per superfície (Euros/m2 mes),14.6
2023,1,3,Sants-Montjuïc,15,Hostafrancs,Lloguer mitjà per superfície (Euros/m2 mes),15.7
2023,1,3,Sants-Montjuïc,16,la Bordeta,Lloguer mitjà per superfície (Euros/m2 mes),22.9
2023,1,3,Sants-Montjuïc,17,Sants - Badal,Lloguer mitjà per superfície (Euros/m2 mes),15.5
