cod_municipi,any,cod_provincia,nom_provincia,cod_comarca,nom_comarca,nom_municipi,pp_perc,psc_perc,cs_perc,indep_perc,abst_perc,intervencio
08015,2015,8,BARCELONA,13,BARCELONÈS,BADALONA,22.719999,14.52,16.91,31.049999,24.530001,0
08015,2017,8,BARCELONA,13,BARCELONÈS,BADALONA,8.2941475,16.962704,31.042868,32.715225,19.936932,0
08016,2012,8,BARCELONA,14,BERGUEDÀ,BAGÀ,4.4554458,11.881188,2.8288543,69.236206,26.46756,0
08016,2015,8,BARCELONA,14,BERGUEDÀ,BAGÀ,3.4400001,10.39,7.8899999,71.120003,18.15,0
08016,2017,8,BARCELONA,14,BERGUEDÀ,BAGÀ,1.4120667,8.8575096,14.505776,70.731705,14.089158,0
08017,2012,8,BARCELONA,24,OSONA,BALENYÀ,7.2252884,10.737581,2.5087807,64.826897,27.331886,0
08017,2015,8,BARCELONA,24,OSONA,BALENYÀ,5,10.72,8.3800001,67.610001,19.129999,0
08017,2017,8,BARCELONA,24,OSONA,BALENYÀ,1.7766497,8.7140436,16.920473,66.582062,14.804168,0
08018,2012,8,BARCELONA,7,BAGES,BALSARENY,6.0874376,14.831212,4.5932484,59.601551,31.21693,0
08018,2015,8,BARCELONA,7,BAGES,BALSARENY,4.46,10.88,13.23,58.91,21.120001,0
08018,2017,8,BARCELONA,7,BAGES,BALSARENY,1.5813954,10.790698,21.348837,59.069767,16.666666,0
08019,2012,8,BARCELONA,13,BARCELONÈS,BARCELONA,14.857448,12.190402,8.239275,46.474712,29.105415,1
08019,2015,8,BARCELONA,13,BARCELONÈS,BARCELONA,9.1700001,11.49,17.700001,47.240002,22.940001,1
08019,2017,8,BARCELONA,13,BARCELONÈS,BARCELONA,5.0458412,14.489887,23.964825,45.757511,18.399006,1
08020,2012,8,BARCELONA,11,BAIX LLOBREGAT,BEGUES,9.9435024,7.6836157,8.1355934,59.067795,23.661671,0
08020,2015,8,BARCELONA,11,BAIX LLOBREGAT,BEGUES,6.3600001,7.27,17.030001,57.25,15.81,0
08020,2017,8,BARCELONA,11,BAIX LLOBREGAT,BEGUES,2.0609114,10.71674,22.028852,56.400276,12.919897,0
08021,2012,8,BARCELONA,6,ANOIA,BELLPRAT,8.1632652,10.204082,0,75.510201,33.333332,0
08021,2015,8,BARCELONA,6,ANOIA,BELLPRAT,0,8.7700005,10.53,66.669998,17.389999,0
08021,2017,8,BARCELONA,6,ANOIA,BELLPRAT,3.5714285,7.1428571,17.857143,67.85714,13.235294,0
08022,2012,8,BARCELONA,14,BERGUEDÀ,BERGA,6.114737,7.8323598,1.8893851,73.97229,28.687328,0
08022,2015,8,BARCELONA,14,BERGUEDÀ,BERGA,5.1599998,6.4899998,4.4499998,76.540001,22.209999,0
08022,2017,8,BARCELONA,14,BERGUEDÀ,BERGA,2.4673879,6.3707151,10.233593,76.853065,18.55315,0
08023,2012,8,BARCELONA,41,VALLÈS ORIENTAL,BIGUES I RIELLS,12.031782,9.8524408,6.9920545,55.096481,31.806343,0
08023,2015,8,BARCELONA,41,VALLÈS ORIENTAL,BIGUES I RIELLS,7.9299998,8.4099998,17.870001,52.509998,21.129999,0
08023,2017,8,BARCELONA,41,VALLÈS ORIENTAL,BIGUES I RIELLS,3.0755711,9.7363796,24.797892,54.217926,15.823529,0
08024,2012,8,BARCELONA,14,BERGUEDÀ,BORREDÀ,4.9342103,5.9210525,1.6447369,77.631577,24.384237,0
08024,2015,8,BARCELONA,14,BERGUEDÀ,BORREDÀ,2.1199999,6.3600001,2.73,82.730003,14.51,0
