grup,numero_id,teoria_examen,teoria_total,practica_total,nota_final
1,U212869,1.75,2.25,7.1,4.2
2,U214501,3,3.61,5.2,4.2
1,U218709,2.25,1.8,7.6,4.1
1,U199809,2,2.38,6.6,4.1
2,U212851,2.25,2.94,5.9,4.1
2,U212855,3,3.35,5.3,4.1
2,U212841,1,1.6,7.8,4.1
1,U214518,2.5,2,7.1,4
1,U199253,2.75,2.2,6.8,4
1,U212804,2.25,2.61,6.1,4
1,U199218,0.75,2.19,6.6,4
2,U214502,3,3.13,5.2,4
1,U212842,3.25,3.05,4.6,3.7
2,U214494,2.5,2.54,5.5,3.7
1,U214505,1.5,1.93,6.1,3.6
1,U214514,1.75,1.4,6.8,3.6
1,U197441,0,0.48,8.1,3.5
1,U214485,0.5,1.01,7.3,3.5
1,U214994,2.5,2.15,5.4,3.5
1,U197465,0.5,0.4,8.1,3.5
2,U214991,1.75,1.94,5.8,3.5
2,U213941,2.5,2.42,5.2,3.5
1,U214990,2,2.08,5.4,3.4
1,U212793,3.5,3.47,2.8,3.2
1,U212853,0.5,0.91,6.6,3.2
1,U214499,2.25,1.8,5.4,3.2
1,U215000,3.75,4.89,0,2.9
2,U212857,3.25,3.55,2,2.9
1,U212858,3.5,3.87,1.3,2.8
1,U161016,2.5,2,3.7,2.7
2,U214996,0,0.47,6,2.7
1,U214497,3,3.02,0,1.8
2,U199242,2,1.6,0,1
2,U212840,0,0.47,0,0.3
